"","Platform","UniProt","Gene.Name","Description","Assay","OlinkID","Panel","log2FC","mean.testGrp","mean.refGrp","n.testGrp","n.refGrp","n.total","statistic","p.value","adj.p","parameter","conf.low","conf.high","method","alternative","Significance"
"1","MS","P05156","CFI","Complement factor I","CFI","OID30772","Inflammation II",0.150442638204928,0.143890132710811,-0.00655250549411764,37,51,88,3.41407809855368,0.00102209631262038,0.0146458972729119,77.2722689414685,0.0627021964439208,0.238183079965936,"Welch Two Sample t-test","two.sided","S"
"2","MS","P01024","C3","Complement C3","C3","OID30776","Inflammation II",0.117203853089189,0.169563219589189,0.0523593665,37,51,88,2.74277423433033,0.00745344627277803,0.0541674874475148,83.4988658874204,0.0322194050177509,0.202188301160627,"Welch Two Sample t-test","two.sided","NS"
"3","MS","P02647","APOA1","Apolipoprotein A-I","APOA1","OID30769","Inflammation II",0.228948822735135,0.177112067735135,-0.051836755,37,51,88,3.88299740182296,0.000201930263037162,0.00605594843982628,85.9908251189056,0.111736308311048,0.346161337159222,"Welch Two Sample t-test","two.sided","S"
"4","MS","P04114","APOB","Apolipoprotein B-100","APOB","OID30673","Inflammation II",0.0142776953391627,0.881222425578378,0.866944730239216,37,51,88,0.0849295250526152,0.932529346198623,0.979678472771268,80.096763034969,-0.320270181543458,0.348825572221783,"Welch Two Sample t-test","two.sided","NS"
"5","MS","P07225","PROS1","Vitamin K-dependent protein S","PROS1","OID30737","Inflammation II",0.0946374750737149,0.168089750175676,0.0734522751019608,37,51,88,1.73063549580371,0.087819550756158,0.284828905167392,71.6848654636296,-0.0143805876190622,0.203655537766492,"Welch Two Sample t-test","two.sided","NS"
"6","MS","P00352","ALDH1A1","Aldehyde dehydrogenase 1A1","ALDH1A1","OID21128","Neurology",-0.0658501813231055,-0.148878691027027,-0.0830285097039216,37,51,88,-0.542391400858258,0.589473531970509,0.801996870786378,62.6368529863198,-0.308490494575043,0.176790131928832,"Welch Two Sample t-test","two.sided","NS"
"7","MS","P08603","CFH","Complement factor H","CFH","OID30790","Inflammation II",0.108320050650397,0.181440929762162,0.0731208791117647,37,51,88,2.72742462383244,0.00780258606308411,0.0554160941980406,82.1601990043611,0.0293162920673404,0.187323809233455,"Welch Two Sample t-test","two.sided","NS"
"8","MS","P20742","PZP","Pregnancy zone protein","PZP","OID30730","Inflammation II",1.39783299055019,0.469269623375676,-0.92856336717451,37,51,88,8.03284006501902,1.25548108006398e-11,7.84675675039988e-09,72.6810843472591,1.05099637180349,1.74466960929688,"Welch Two Sample t-test","two.sided","S"
"9","MS","P02787","TF","Serotransferrin","TF","OID30783","Inflammation II",0.128133660514308,0.127293999737838,-0.000839660776470593,37,51,88,2.34433199651727,0.021432625141569,0.113520260283734,83.6208162236375,0.0194354390508876,0.236831881977729,"Welch Two Sample t-test","two.sided","NS"
"10","MS","P02760","AMBP","Protein AMBP","AMBP","OID21413","Oncology",0.0446454809243243,0.0490180044243243,0.0043725235,37,51,88,1.0945378893269,0.2769188441948,0.526061634108664,82.1278903506236,-0.0364956234388848,0.125786585287533,"Welch Two Sample t-test","two.sided","NS"
"11","MS","P13647","KRT5","Keratin, type II cytoskeletal 5","KRT5","OID20860","Neurology",-0.151993965711553,-1.14117008491351,-0.989176119201961,37,51,88,-0.723006030065086,0.471976259928487,0.710807620374227,73.3218713102018,-0.570940866393503,0.266952934970398,"Welch Two Sample t-test","two.sided","NS"
"12","MS","P00734","F2","Prothrombin","F2","OID30723","Inflammation II",0.111975777152199,0.0649221407972973,-0.047053636354902,37,51,88,1.98288559795685,0.051301247665999,0.197921480192897,70.072168126417,-0.00065028765136845,0.224601841955767,"Welch Two Sample t-test","two.sided","NS"
"13","MS","P02765","AHSG","Alpha-2-HS-glycoprotein","AHSG","OID30706","Inflammation II",0.101533586314414,0.111995153981081,0.0104615676666667,37,51,88,1.83874489511154,0.0697929526549708,0.242336641163093,77.309006219124,-0.00841440315540409,0.211481575784233,"Welch Two Sample t-test","two.sided","NS"
"14","MS","P01011","SERPINA3","Alpha-1-antichymotrypsin","SERPINA3","OID30786","Inflammation II",0.0145041543228405,0.0182594268189189,0.00375527249607843,37,51,88,0.189528278312062,0.850254891081855,0.948945190939571,66.6397496732688,-0.138260860851291,0.167269169496972,"Welch Two Sample t-test","two.sided","NS"
"15","MS","P01008","SERPINC1","Antithrombin-III","SERPINC1","OID30789","Inflammation II",0.192288235661473,0.138916810081081,-0.0533714255803922,37,51,88,4.98661529258531,3.30093738814842e-06,0.000343847644598794,83.3240653421917,0.115596622606016,0.26897984871693,"Welch Two Sample t-test","two.sided","S"
"16","MS","P04275","VWF","von Willebrand factor","VWF","OID20256","Cardiometabolic",-0.344545912789242,-0.273419436510811,0.0711264762784314,37,51,88,-2.87700701582577,0.00509307346592801,0.0413398820286365,83.6381700300746,-0.582713786173957,-0.106378039404527,"Welch Two Sample t-test","two.sided","S"
"17","MS","P00747","PLG","Plasminogen","PLG","OID30785","Inflammation II",0.123110762010493,0.197597835181081,0.0744870731705882,37,51,88,2.93981244855881,0.00434808659293463,0.0373533085215005,76.0262452663152,0.0397057938098766,0.206515730211109,"Welch Two Sample t-test","two.sided","S"
"18","MS","P00751","CFB","Complement factor B","CFB","OID30755","Inflammation II",0.122375472812984,0.161115921897297,0.0387404490843137,37,51,88,2.03624786481531,0.0449568698756587,0.185444487398501,81.9070090527937,0.00281834948690829,0.241932596139059,"Welch Two Sample t-test","two.sided","NS"
"19","MS","P05546","SERPIND1","Heparin cofactor 2","SERPIND1","OID30767","Inflammation II",0.259360344312083,0.22920257222973,-0.0301577720823529,37,51,88,4.80569097664589,7.03625163560743e-06,0.000628236753179235,80.566036917902,0.151969362821036,0.366751325803129,"Welch Two Sample t-test","two.sided","S"
"20","MS","P06727","APOA4","Apolipoprotein A-IV","APOA4","OID30733","Inflammation II",-0.0300988092188659,-0.0234756254972973,0.00662318372156863,37,51,88,-0.390809761997465,0.696905404905999,0.872755900408068,85.9038159406413,-0.18320503633931,0.123007417901578,"Welch Two Sample t-test","two.sided","NS"
"21","MS","P02766","TTR","Transthyretin","TTR","OID30782","Inflammation II",0.286585300043402,-0.0156902897918919,-0.302275589835294,37,51,88,2.37189688099249,0.0200802291737574,0.108190889944814,80.6430881061186,0.0461645987319823,0.527006001354822,"Welch Two Sample t-test","two.sided","NS"
