"Gene.Name","UniProt_MS","UniProt_Olink","Correlation","P.value","Adj.p.value","N","Cor.method"
"A1BG","P04217","P04217",0.443980680416584,1.4718041658656e-05,2.64112097248889e-05,88,"Spearman"
"A1BG","P04217-2","P04217",0.26554306621663,0.0124031394452251,0.0174000877109273,88,"Spearman"
"AGRN","O00468-6","O00468",0.593198548835899,1.41513194828456e-09,3.59154963013652e-09,88,"Spearman"
"ATRN","O75882","O75882-2",0.617724885202375,1.44555840741185e-10,3.87913609328411e-10,88,"Spearman"
"CD200R1","Q8TD46-4","Q8TD46",0.00738916256157635,0.970465313229021,0.977588791097956,29,"Spearman"
"CD86","P42081-4","P42081",0.69903352461492,5.68463283723503e-07,1.1607365479171e-06,43,"Spearman"
"CEACAM1","P13688","P13688",0.489574160825614,1.79331569408638e-06,3.52043517127696e-06,88,"Spearman"
"CEACAM1","P13688-4","P13688",0.117431580430418,0.275315045417604,0.321475651834926,88,"Spearman"
"CHL1","O00533-2","O00533",0.770296925081892,0,0,88,"Spearman"
"CHRDL2","Q6WN34-2","Q6WN34",0.638124757845796,0,0,88,"Spearman"
"CLEC10A","Q8IUN9-2","Q8IUN9",0.363636363636364,0.246255228012161,0.291028905832554,12,"Spearman"
"CLTA","P09496-2","P09496",0.495615538230399,0.000161009762415478,0.000271442971219178,53,"Spearman"
"CNTN4","Q8IWV2","Q8IWV2",0.62438801028495,0,0,88,"Spearman"
"CNTN4","Q8IWV2-3","Q8IWV2",0.623529411764706,1.85200463468038e-06,3.62955682173542e-06,51,"Spearman"
"COL6A3","P12111","P12111",0.223820929167694,0.036259597132808,0.0484383898790252,88,"Spearman"
"COL6A3","P12111-4","P12111",0.120801586473228,0.333109045073778,0.380975154189952,66,"Spearman"
"CRELD1","Q96HD1-2","Q96HD1",0.561685752910207,1.2448374675215e-08,2.91291967400032e-08,88,"Spearman"
"EFEMP1","Q12805","Q12805",0.526592934380614,2.16326801240494e-07,4.54402796142511e-07,88,"Spearman"
"EFEMP1","Q12805-5","Q12805",0.44025974025974,0.0471555886280586,0.0619154532049967,21,"Spearman"
"EIF4G1","Q04637-4","Q04637",0.280997949419002,0.036266691909424,0.0484383898790252,56,"Spearman"
"ENPP2","Q13822-3","Q13822",0.828431545207989,0,0,88,"Spearman"
"FN1","P02751-1","P02751",0.0837857234066599,0.437685420989428,0.490979810697633,88,"Spearman"
"FN1","P02751-3","P02751",-0.0148222960337749,0.899561148856483,0.918400125795886,75,"Spearman"
"GLOD4","Q9HC38-2","Q9HC38",0.857807051530415,0,0,88,"Spearman"
"GSN","P06396","P06396",0.636419272043399,2.66693908200831e-11,7.27347022365903e-11,88,"Spearman"
"GSN","P06396-2","P06396",0.222324954763148,0.0373511574326074,0.049829936369613,88,"Spearman"
"HLA-A","P04439","P04439",0.181578947368421,0.267547263784986,0.313657613856145,39,"Spearman"
"HLA-A","P04439-2","P04439",0.137362637362637,0.656000350185762,0.698380718578109,13,"Spearman"
"ITIH1","P19827","P19827",0.259132555797287,0.0147720548946004,0.0205021402451749,88,"Spearman"
"ITIH1","P19827-2","P19827",0.170940170940171,0.392256858059859,0.444279306805456,27,"Spearman"
"ITIH4","Q14624","Q14624",0.535292874502483,1.26921991131133e-07,2.7398289598418e-07,88,"Spearman"
"ITIH4","Q14624-2","Q14624",0.371525808281339,0.0159233480262311,0.0219697136682669,42,"Spearman"
"LY75","O60449-3","O60449",0.485353161741399,6.6742743515385e-06,1.23754373871633e-05,78,"Spearman"
"MASP1","P48740","P48740",0.0373095228664233,0.73001150193464,0.767397535726441,88,"Spearman"
"MASP1","P48740-2","P48740",0.569927837735076,6.80748780965614e-09,1.61557012926931e-08,88,"Spearman"
"MASP1","P48740-3","P48740",0.234705693292813,0.0277290943176018,0.0374198850652758,88,"Spearman"
"MSLN","Q13421-4","Q13421",0.866031488852101,0,0,88,"Spearman"
