"Study","Comparison","Total.N","Unique.proteins","Median.correlation","Correlation.Q1","Correlation.Q3","Overlap.with.present.study","Median.correlation_Overlap","Correlation.Q1_Overlap","Correlation.Q3_Overlap"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","MS-Olink",1662,1658,0.373057322424411,0.14616430713184,0.583182640144665,1011,0.448534850640114,0.22493961734468,0.623240275445257
"Kirsher et al. (MS HAP Depletion - Olink 3K)","MS-Olink",1449,1449,0.423816689639474,0.184462274831864,0.625070581592321,1039,0.456265253733608,0.223421304433962,0.664622289184937
"Dammer et al. (MS-Olink)","MS-Olink",254,254,0.5414410615,0.334107638,0.72144327175,238,0.5598080015,0.343419724,0.726249276
"Nilsson et al.","MS-Olink",78,78,0.261296397280469,0.0763730962897629,0.467617007390505,71,0.265468135449669,0.0824959909050059,0.465102844828097
"Petrera et al.","MS-Olink",43,43,0.429908560731514,0.244362689326312,0.533136705320559,43,0.429908560731514,0.244362689326312,0.533136705320559
"Kirsher et al. (MS HAP Depletion - SomaScan 11K)","MS-SomaScan",3304,2768,0.28977617090096,0.0621447192927406,0.545080409496056,958,0.361299207050031,0.10052918312987,0.589394782432757
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","MS-SomaScan",2736,2298,0.289803772941681,0.0745708637348587,0.553813275332262,889,0.353873974127139,0.106476684318596,0.589524399650982
"Dammer et al. (MS-SomaScan)","MS-SomaScan",806,806,0.598729624425103,0.353900010840386,0.791521336035096,440,0.564740145574808,0.358993355614242,0.754311007206194
"Kirsher et al. (Olink 5K - SomaScan 11K)","Olink-SomaScan",4431,3720,0.228932918018777,0.0445066073782806,0.583663172270767,1008,0.533834937989099,0.21018222284045,0.773158445233497
"Rooney et al. (2025)","Olink-SomaScan",4428,3718,0.135933831075438,-0.000907544681566266,0.529942995791139,1008,0.51707934928273,0.149651401462248,0.759785179900128
"Kirsher et al. (Olink 5K - SomaScan 7K)","Olink-SomaScan",3404,2832,0.255692128712661,0.0608160557932609,0.591390364026822,926,0.495923367059379,0.188328386460598,0.736257745640366
"Kirsher et al. (Olink 3K - SomaScan 11K)","Olink-SomaScan",3195,2507,0.391216378558151,0.11678901413296,0.728680620151752,1037,0.588848984593986,0.237395515876528,0.826300281996484
"Wang et al.","Olink-SomaScan",2749,2168,0.224672333579059,0.0109703969672411,0.617990610066069,959,0.459846022428118,0.110586769450654,0.715797617993908
"Kirsher et al. (Olink 3K - SomaScan 7K)","Olink-SomaScan",2710,2161,0.381292007316814,0.116706078731395,0.717009047985652,953,0.555612461046659,0.228151304117159,0.808899960798695
"Nicholas et al.","Olink-SomaScan",2708,2157,0.262077929190698,0.0108886687502805,0.595189977928565,952,0.43825474550648,0.11212555300814,0.664803626160466
"Eldjarn et al.","Olink-SomaScan",2023,1848,0.327951617051447,0.0383974888453801,0.578848999177504,866,0.443170187292337,0.14826875648506,0.633094597279057
"Dammer et al. (Olink-SomaScan)","Olink-SomaScan",1009,1009,0.649739032406818,0.294044821204874,0.846084274362275,508,0.709682867599378,0.398214605596944,0.85685377300536
"Pietzner et al.","Olink-SomaScan",937,871,0.381618378140201,0.0934971730949999,0.641519943148,442,0.45922987560492,0.172184220128,0.680918872387567
"Haslam et al.","Olink-SomaScan",1079,817,0.384817813765182,0.13725029324232,0.630566801619433,436,0.446408371982377,0.182085020242915,0.649797570850203
"Katz et al.","Olink-SomaScan",618,591,0.442891344178343,0.0696412364424139,0.68321331045052,311,0.532374794900904,0.232256670156262,0.712782719236182
"Assi et al.","Olink-SomaScan",491,491,0.456606304493628,0.113815018029548,0.650262613820559,265,0.490798883307685,0.212843729040912,0.654694835680751
"Raffield et al.","Olink-SomaScan",425,425,0.36,0.09,0.58,232,0.39,0.1375,0.5925
"Rooney et al. (2023)","Olink-SomaScan",416,366,0.5333374,0.140453975,0.737999175,203,0.6301339,0.3060722,0.7631531
"Finkernagel et al.","Olink-SomaScan",214,214,0.729411764705882,0.447018800413068,0.851599972305815,133,0.73639223051791,0.511452581032413,0.846434573829532
