"","Platform","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","GeneRatio2","BgRatio2","Enriched"
"1","MS","GO:0006956","Complement activation","51/1576","55/3146",0.927272727272727,1.8510152284264,6.37834166420672,7.89776075751508e-12,2.65443739060082e-08,2.42004016475015e-08,"P05156/P01024/P08603/P00751/P01023/P07358/P02748/P00746/P07357/P10643/P04003/O75636/P0C0L5/P01031/P13671/P09871/O43866/P00736/P07360/P04264/Q9NZP8/P48740/P06681/P02746/P11226/Q9BXR6/O00187/P36980/Q4LDE5/P27918/P02745/Q03591/Q9Y6Z7/Q15485/P02747/P17927/O00602/P20851/P05155/Q9BWP8/P10909/P0C0L4/Q02985/Q92496/Q9H4X1/P08174/P20023/Q9Y279/P13987/Q9NZC2/P15529",51,0.0323604060913706,0.0174825174825175,"MS"
"2","MS","GO:0007596","Blood coagulation","106/1576","137/3146",0.773722627737226,1.54449961095261,6.52807850900016,1.95591791845023e-11,3.28692006195561e-08,2.99667213716243e-08,"P00451/P07225/P00734/P12259/P01008/P04275/P00747/P05546/P02749/Q04756/P02675/P01009/Q9UK55/Q9Y490/P02649/P00488/P23142/P03952/P00742/P05160/P04196/P04264/Q96IY4/P00748/P04004/P01042/P0DJI8/Q12866/P32119/P07359/P16109/O00299/P08567/P30101/P07996/P68871/P21291/Q4LDE5/P08697/Q08830/Q13201/P08758/P40197/Q9UNN8/Q9H4B7/Q15465/P17301/P62937/P00740/P49257/Q12884/P03951/P04792/P02776/P21926/P35579/Q13418/P40189/P18054/P10646/P49747/P08311/P42768/P02671/Q06418/Q5VY43/P06280/P05120/Q9Y6C2/P05106/Q76LX8/P20851/P17252/P60709/P22891/P21333/P05155/P18206/P04070/P08709/P02679/P02461/Q86UX7/Q9HCN6/Q86YW5/Q16539/P12931/P05121/Q9Y251/Q12913/P13688/P29350/P13987/Q03405/Q14393/P07093/P07355/P30530/P08887/P16671/Q14644/Q9BXJ1/P02730/P01127/P13224/Q13976",106,0.067258883248731,0.0435473617291799,"MS"
"3","MS","GO:0007599","Hemostasis","107/1576","140/3146",0.764285714285714,1.52566171138506,6.37403552472845,6.06761651064431e-11,5.9931104505827e-08,5.46389530736349e-08,"P00451/P07225/P00734/P12259/P01008/P04275/P00747/P05546/P02749/Q04756/P02675/P01009/Q9UK55/Q9Y490/P02649/P00488/P23142/P03952/P00742/P05160/P04196/P04264/Q96IY4/P00748/P04004/P01042/P0DJI8/Q12866/P32119/P07359/P16109/O00299/P08567/P30101/P07996/P68871/P21291/Q4LDE5/P08697/P06744/Q08830/Q13201/P08758/P40197/Q9UNN8/Q9H4B7/Q15465/P17301/P62937/P00740/P49257/Q12884/P03951/P04792/P02776/P21926/P35579/Q13418/P40189/P18054/P10646/P49747/P08311/P42768/P02671/Q06418/Q5VY43/P06280/P05120/Q9Y6C2/P05106/Q76LX8/P20851/P17252/P60709/P22891/P21333/P05155/P18206/P04070/P08709/P02679/P02461/Q86UX7/Q9HCN6/Q86YW5/Q16539/P12931/P05121/Q9Y251/Q12913/P13688/P29350/P13987/Q03405/Q14393/P07093/P07355/P30530/P08887/P16671/Q14644/Q9BXJ1/P02730/P01127/P13224/Q13976",107,0.0678934010152284,0.0445009535918627,"MS"
"4","MS","GO:0005975","Carbohydrate metabolic process","136/1576","187/3146",0.727272727272727,1.45177664974619,6.38132268856595,7.13253252077679e-11,5.9931104505827e-08,5.46389530736349e-08,"P18669/P02753/Q15848/Q16706/P15121/P33908/Q04446/P35555/P05062/P04066/P80108/P26927/P05090/O00462/P07686/P14550/Q9Y5C1/Q86SF2/Q9UJJ9/Q01469/P08567/P17050/Q00796/O75874/P24298/Q16394/Q92187/O95336/P07738/Q9NPG4/P12109/P06744/P17900/P36222/P22413/Q7LGC8/P48506/P04075/Q9UKK9/Q9NSC7/Q9NRB3/P17174/Q96G03/P09972/P01137/P06865/Q01459/Q10469/P06733/Q9Y274/P48163/Q6PCE3/P04406/P09467/Q9BTY2/Q07654/P11216/P22692/A6NDG6/P49247/P40189/Q7LFX5/P36871/P41159/Q9UKM7/O43451/P09104/O43529/O75752/P21695/Q9HAT2/P10253/Q9Y2E5/P06280/P01275/P04746/P49641/Q9NR34/Q7Z4W1/Q16531/P56537/Q04760/O43488/Q3LXA3/P52848/P46926/O43280/P08195/P00558/P11413/P17936/Q00610/P15291/Q15185/Q14697/P48357/P0DTE7/P19961/O95479/Q93063/P37840/P30613/P14618/Q16539/P12931/Q16851/A2VDF0/P08236/P01344/P78417/P00338/P52209/Q13231/Q9BXJ4/P60174/Q9P2X0/P37837/O00754/P05019/P06737/Q12794/Q9BXD5/P17612/P38571/Q13724/Q9UK23/Q01813/Q9BXJ1/P02730/P05067/P62136/P19367/Q15043/P01127/P06213/Q13976",136,0.0862944162436548,0.0594405594405594,"MS"
"5","MS","GO:0050817","Coagulation","106/1576","139/3146",0.762589928057554,1.52227659496768,6.30928078369071,9.52369977031825e-11,6.40183098560793e-08,5.83652421713609e-08,"P00451/P07225/P00734/P12259/P01008/P04275/P00747/P05546/P02749/Q04756/P02675/P01009/Q9UK55/Q9Y490/P02649/P00488/P23142/P03952/P00742/P05160/P04196/P04264/Q96IY4/P00748/P04004/P01042/P0DJI8/Q12866/P32119/P07359/P16109/O00299/P08567/P30101/P07996/P68871/P21291/Q4LDE5/P08697/Q08830/Q13201/P08758/P40197/Q9UNN8/Q9H4B7/Q15465/P17301/P62937/P00740/P49257/Q12884/P03951/P04792/P02776/P21926/P35579/Q13418/P40189/P18054/P10646/P49747/P08311/P42768/P02671/Q06418/Q5VY43/P06280/P05120/Q9Y6C2/P05106/Q76LX8/P20851/P17252/P60709/P22891/P21333/P05155/P18206/P04070/P08709/P02679/P02461/Q86UX7/Q9HCN6/Q86YW5/Q16539/P12931/P05121/Q9Y251/Q12913/P13688/P29350/P13987/Q03405/Q14393/P07093/P07355/P30530/P08887/P16671/Q14644/Q9BXJ1/P02730/P01127/P13224/Q13976",106,0.067258883248731,0.0441830896376351,"MS"
"6","MS","GO:1901135","Carbohydrate derivative metabolic process","194/1576","291/3146",0.666666666666667,1.33079526226734,5.93391504528891,1.58225404985369e-09,8.86325976926377e-07,8.0805991914458e-07,"P00352/P19823/P54802/P19827/P00491/P18669/Q16706/P15121/P33908/P01034/P05062/P04066/P80108/Q8WWQ8/P02743/O00462/P07686/P14550/P00492/Q86SF2/O75356/Q9UJJ9/P62826/Q8NFL0/P01160/P17050/Q9Y287/Q00796/P49773/Q9Y5Y7/Q6UWV6/P15907/Q10471/Q9BS26/Q16394/Q92187/O95336/P07738/P12109/P06744/O43505/Q09328/P17900/P36222/P22413/Q7LGC8/P04075/Q7Z7M8/Q9UKK9/Q9NSC7/Q8NCL4/Q14165/Q16880/P11142/Q9NRB3/P55072/Q96G03/P09972/P00568/Q9UBQ6/Q14623/P01137/P06865/Q01459/Q10469/P06733/Q9Y274/P98066/P04406/Q9NX62/P09467/Q9NZK5/Q9BTY2/Q7Z7M9/Q14624/O94923/P49247/P26572/Q7LFX5/P36871/P41159/Q96IU4/Q11201/Q9UKM7/Q12882/Q09327/O60568/Q9H479/P09104/Q8WUJ3/O43529/O00585/P20933/O75752/P35052/P21695/P32320/P12883/O76031/P22304/Q10472/P06280/O14638/P07741/Q13232/P19971/P07711/Q96PD5/O75594/P49641/Q9NR34/P26022/P50583/Q7Z4W1/P56537/P21589/Q8N0V5/O43488/Q8WZA1/Q3LXA3/O95989/P38606/P52848/O15067/Q76LX8/P46926/Q495W5/Q06033/P14314/Q9NYU2/P00558/P11413/P0DMV8/Q00610/P15291/Q9NY97/Q14697/O76074/O95479/P10721/Q93063/P29401/P31939/Q07812/P30613/P14618/P12931/Q16851/P08236/P16070/P00338/P52209/Q9Y251/Q13231/Q9Y2S2/P60174/Q9P2X0/P37837/P50225/Q00013/Q8WVQ1/Q8IWU5/P15531/Q92542/Q9NTK5/O00429/O00754/P30085/P17405/P05019/Q4G148/P06737/Q06187/P29122/Q86SR1/Q12794/Q9BXD5/Q13126/P17612/P04062/P38571/Q13724/Q9UK23/Q01813/P54819/P02730/P05067/Q9NZC2/Q02108/P19367/P60891/Q9UDY2/P01127/P06213",194,0.123096446700508,0.0924984106802289,"MS"
"7","MS","GO:1990748","Cellular detoxification","48/1576","55/3146",0.872727272727273,1.74213197969543,5.56226395053398,5.42662240688336e-09,2.60555398707643e-06,2.37547335735902e-06,"P00352/P02760/P00450/P02768/P06727/P02649/P09211/P69905/O95445/P02144/P30041/P06702/P14550/P04040/P32119/P22352/Q06830/P68871/P10768/P21266/Q99497/P07203/P00738/Q9UBX5/Q92626/P08294/Q13162/P00441/P10599/P11766/P02042/O14618/P30711/Q9BRA2/O60613/P07148/P30044/P05164/P78417/Q16881/P04179/P00390/P28161/Q9BRX8/P69891/P16671/P30048/P08319",48,0.0304568527918782,0.0174825174825175,"MS"
"8","MS","GO:0050878","Regulation of body fluid levels","120/1576","169/3146",0.710059171597633,1.41741507223741,5.58805493583913,1.15120085956148e-08,4.83648261123265e-06,4.40940223971507e-06,"P00451/P07225/P00734/P12259/P01008/P04275/P00747/P05546/P02749/Q04756/P02675/P01009/Q9UK55/Q9Y490/P02649/P00488/P15121/P23142/P03952/P00742/P05160/P04196/P04264/Q96IY4/P00748/P04004/P01042/P0DJI8/Q12866/P32119/P07359/P16109/O00299/P08567/P30101/P07996/P68871/P21291/Q4LDE5/Q16394/P08697/P06744/Q08830/Q13201/P08758/P40197/Q9UNN8/Q9H4B7/Q15465/P17301/P62937/P00740/P01236/P49257/Q7Z3B1/Q12884/P03951/P04792/P02776/P21926/P35579/Q9ULI3/Q13418/P40189/P18054/P10646/P49747/P08311/P42768/P02671/Q06418/Q5VY43/P06280/P05120/Q9Y6C2/P00995/P05106/Q76LX8/P20851/P17252/P60709/P22891/P21333/P05155/P18206/P04070/P08709/P02679/P02461/Q86UX7/Q9HCN6/Q86YW5/Q93063/P00533/Q16539/P12931/P05121/Q9Y251/Q9NP55/Q12913/P07911/P13688/P15531/P29350/P13987/Q03405/Q14393/P07093/P07355/P30530/P08887/P17612/P16671/Q14644/Q9BXJ1/P02730/Q08345/P01127/P13224/Q13976",120,0.0761421319796954,0.0537190082644628,"MS"
"9","MS","GO:0097237","Cellular response to toxic substance","48/1576","57/3146",0.842105263157895,1.68100454181138,5.19777034867656,6.43848776190331e-08,2.1639757367757e-05,1.97288819735795e-05,"P00352/P02760/P00450/P02768/P06727/P02649/P09211/P69905/O95445/P02144/P30041/P06702/P14550/P04040/P32119/P22352/Q06830/P68871/P10768/P21266/Q99497/P07203/P00738/Q9UBX5/Q92626/P08294/Q13162/P00441/P10599/P11766/P02042/O14618/P30711/Q9BRA2/O60613/P07148/P30044/P05164/P78417/Q16881/P04179/P00390/P28161/Q9BRX8/P69891/P16671/P30048/P08319",48,0.0304568527918782,0.0181182453909727,"MS"
"10","MS","GO:0098754","Detoxification","48/1576","57/3146",0.842105263157895,1.68100454181138,5.19777034867656,6.43848776190331e-08,2.1639757367757e-05,1.97288819735795e-05,"P00352/P02760/P00450/P02768/P06727/P02649/P09211/P69905/O95445/P02144/P30041/P06702/P14550/P04040/P32119/P22352/Q06830/P68871/P10768/P21266/Q99497/P07203/P00738/Q9UBX5/Q92626/P08294/Q13162/P00441/P10599/P11766/P02042/O14618/P30711/Q9BRA2/O60613/P07148/P30044/P05164/P78417/Q16881/P04179/P00390/P28161/Q9BRX8/P69891/P16671/P30048/P08319",48,0.0304568527918782,0.0181182453909727,"MS"
