"HPA.category","Annotation","N_BG","Freq_BG","N_MS","Freq_MS","N_Olink","Freq_Olink","N.diff","Freq.diff","Fisher.pvalue","Fisher.adj.p","Higher","Enr.pvalue_MS","Enr.adj.p_MS","Enr.pvalue_Olink","Enr.adj.p_Olink","Enriched"
"Chromosome","1",381,11.4966807483404,190,11.3027959547888,289,11.839410077837,-99,-0.536614123048135,0.621068567668459,1,"Olink",0.658945379812335,0.987765719926385,0.165496925878004,0.702252894034832,"None"
"Chromosome","10",122,3.68135184067592,56,3.3313503866746,89,3.64604670217124,-33,-0.314696315496643,0.606939460691932,1,"Olink",0.880602116368188,1,0.617565608138868,1,"None"
"Chromosome","11",216,6.51780325890163,120,7.13860797144557,150,6.14502253174928,-30,0.993585439696285,0.223539161235554,0.86116042712328,"MS",0.0808611458885992,0.388133500265276,0.93578907100369,1,"None"
"Chromosome","12",178,5.37115268557634,88,5.23497917906008,129,5.28471937730438,-41,-0.0497401982443009,1,1,"Olink",0.666391421806086,0.987765719926385,0.679429759547166,1,"None"
"Chromosome","13",55,1.65962582981291,28,1.6656751933373,42,1.7206063088898,-14,-0.0549311155525003,1,1,"Olink",0.543320102770936,0.987765719926385,0.388601784717776,0.932644283322663,"None"
"Chromosome","14",133,4.0132770066385,78,4.64009518143962,75,3.07251126587464,3,1.56758391556498,0.0116679065085238,0.170006282980255,"MS",0.037547083544077,0.388133500265276,0.999996481530674,1,"None"
"Chromosome","15",79,2.3838261919131,42,2.49851279000595,59,2.41704219582138,-17,0.0814705941845641,0.918430457164195,1,"MS",0.372794111343011,0.987765719926385,0.47576046059185,0.984282685903305,"None"
"Chromosome","16",132,3.983101991551,58,3.45032718619869,102,4.17861532158951,-44,-0.728288135390822,0.25117179124429,0.86116042712328,"Olink",0.953628325984516,1,0.195518957775809,0.702252894034832,"None"
"Chromosome","17",193,5.82377791188896,93,5.53242117787032,147,6.0221220811143,-54,-0.489700903243982,0.542677670107292,1,"Olink",0.788382923463485,1,0.234084298011611,0.702252894034832,"None"
"Chromosome","18",46,1.38805069402535,27,1.60618679357525,28,1.1470708725932,-1,0.459115920982053,0.215966766361171,0.86116042712328,"MS",0.173562544046657,0.694250176186626,0.98126358491548,1,"None"
"Chromosome","19",241,7.27217863608932,101,6.00832837596669,196,8.0294961081524,-95,-2.02116773218571,0.0141671902483546,0.170006282980255,"Olink",0.998215887862232,1,0.00247475229075874,0.0593940549782097,"None"
"Chromosome","2",230,6.94025347012674,117,6.96014277215943,162,6.63662433428923,-45,0.323518437870203,0.705197600741712,1,"MS",0.509145584610746,0.987765719926385,0.889313750408616,1,"None"
"Chromosome","20",88,2.65540132770066,45,2.67697798929209,61,2.49897582957804,-16,0.178002159714046,0.764133840079106,1,"MS",0.512022457017521,0.987765719926385,0.85490881879901,1,"None"
"Chromosome","21",32,0.965600482800241,17,1.01130279595479,26,1.06513723883654,-9,-0.0538344428817537,1,1,"Olink",0.462468533920186,0.987765719926385,0.222220644426679,0.702252894034832,"None"
"Chromosome","22",92,2.77610138805069,59,3.50981558596074,59,2.41704219582138,0,1.09277339013935,0.0455861376212094,0.364689100969675,"MS",0.00591911448831592,0.142058747719582,0.984867331726467,1,"None"
"Chromosome","3",162,4.88835244417622,92,5.47293277810827,117,4.79311757476444,-25,0.679815203343828,0.347862751542051,1,"MS",0.0662601412728404,0.388133500265276,0.700546350512944,1,"None"
"Chromosome","4",135,4.07362703681352,66,3.92623438429506,108,4.42441622285948,-42,-0.498181838564422,0.478262516118725,1,"Olink",0.699667384947856,0.987765719926385,0.0510058064181102,0.431909851287257,"None"
"Chromosome","5",133,4.0132770066385,76,4.52111838191553,104,4.26054895534617,-28,0.260569426569357,0.698662734533727,1,"MS",0.0772243206403955,0.388133500265276,0.132124573461051,0.702252894034832,"None"
"Chromosome","6",177,5.34097767048884,90,5.35395597858418,126,5.1618189266694,-36,0.192137051914778,0.831102323126059,1,"MS",0.517494527059936,0.987765719926385,0.804570189304057,1,"None"
"Chromosome","7",148,4.46590223295112,74,4.40214158239143,109,4.46538303973781,-35,-0.0632414573463791,0.938843409319311,1,"Olink",0.604349244464853,0.987765719926385,0.54436757341856,1,"None"
"Chromosome","8",113,3.40977670488835,47,2.79595478881618,91,3.7279803359279,-44,-0.932025547111717,0.112757814441532,0.676546886649191,"Olink",0.980985272778473,1,0.0539887314109072,0.431909851287257,"None"
"Chromosome","9",142,4.28485214242607,77,4.58060678167757,108,4.42441622285948,-31,0.156190558818088,0.81871845431144,1,"MS",0.221580344935044,0.759704039777292,0.289046777361375,0.770791406297,"None"
"Chromosome","X",86,2.59505129752565,40,2.37953599048186,64,2.62187628021303,-24,-0.242340289731171,0.686399220789049,1,"Olink",0.816188866165832,1,0.492141342951653,0.984282685903305,"None"
"Chromosome","Unknown",0,0,0,0,0,0,0,0,1,1,"No difference",1,1,1,1,"None"
"Protein.class","Blood group antigen proteins",17,0.512975256487628,12,0.713860797144557,12,0.491601802539943,0,0.222258994604614,0.406945098642909,0.629666417366474,"MS",0.0797618099584931,0.166170437413527,0.723186496638418,1,"None"
