"","Platform","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","UniProt","Count","GeneRatio2","BgRatio2","Enriched"
"1","MS","GO:1901135","Carbohydrate derivative metabolic process","271/2318","371/4011",0.730458221024259,1.2639637293047,6.24425947541588,1.22282818762565e-10,4.12881626510537e-07,3.81795170764982e-07,"P00352/P19823/P54802/P19827/P00491/P18669/Q16706/P15121/P33908/P01034/P05062/P04066/P80108/Q8WWQ8/P02743/O00462/P07686/P14550/P00492/Q86SF2/O75356/Q9UJJ9/P62826/Q8NFL0/P01160/P17050/Q9Y287/Q00796/P49773/Q9Y5Y7/Q6UWV6/P15907/Q10471/Q9BS26/Q16394/Q92187/O95336/P07738/P12109/P06744/O43505/Q09328/P17900/P36222/P22413/Q7LGC8/P04075/Q7Z7M8/Q9UKK9/Q9NSC7/Q8NCL4/Q14165/Q16880/P11142/Q9NRB3/P55072/Q96G03/P09972/P00568/Q9UBQ6/Q14623/P01137/P06865/Q01459/Q10469/P06733/Q9Y274/P52790/P98066/P04406/Q9NX62/P09467/Q9NZK5/Q9BTY2/Q7Z7M9/Q14624/O94923/P49247/P26572/Q7LFX5/P36871/P41159/Q96IU4/Q11201/Q9UKM7/Q12882/Q09327/Q9NRR1/O60568/Q9H479/P09104/Q8WUJ3/O43529/O00585/P20933/O75752/P35052/P21695/P32320/P12883/O76031/P22304/Q10472/P06280/O14638/P07741/Q13232/P19971/P07711/P07205/Q8N4A0/Q96PD5/Q9BYG0/O75594/P49641/Q9NR34/P26022/P50583/Q7Z4W1/Q9H1B5/Q9UBR1/P56537/Q02742/Q99519/P21589/Q3T906/Q8N0V5/Q9NPC4/O60476/O43488/Q8WZA1/Q3LXA3/O95989/P54317/P38606/P52848/P11586/P00813/O15067/Q76LX8/P30520/O75063/P46926/P34949/Q6ZVX7/P06576/Q495W5/Q8TCD5/Q9NQZ7/Q8NCH0/Q9Y315/Q8NET6/P24539/Q9NR45/O60704/Q06033/P14314/Q9NYU2/P00558/P11413/P0DMV8/Q00610/P15291/P30566/Q9NY97/Q14697/O76074/P32189/O95479/P10721/Q93063/P29401/P31939/Q07812/P30613/P14618/P12931/Q16851/P08236/P16070/Q9H0U4/P62820/P00338/P52209/Q9Y251/Q13231/Q9Y2S2/P60174/Q9P2X0/P37837/P0DMM9/P50225/Q02153/Q00013/Q8WVQ1/Q8IWU5/P15531/Q92542/P51606/Q9NTK5/O00429/O00754/P17858/P30085/P17405/P05019/Q4G148/P06737/Q06187/P29122/Q86SR1/Q9H488/Q12794/Q9BXD5/Q13126/P17612/P04062/P38571/Q13724/Q9UK23/Q01813/O60256/P05026/P54819/P02730/P05067/O43598/Q9NZC2/Q9BY32/Q02108/P19367/Q9H0P0/P11055/P22234/P60891/P25705/O60547/Q9UDY2/P01127/Q9Y2T3/P12107/P06213/P13929/Q96AT9/P16278/P34896/P55263/Q15389/Q9UHN6/P40763/Q01433/P15586/P04844/Q9NPF2/Q15782/P01133/Q05655/Q86UX2/Q9Y3Z3/Q16774/Q96RP7/Q9UJ70/Q9UQ53/Q9P2T1/P32321/O60243/P23919/P42330/P35475/P07902/Q96JF0",271,0.116911130284728,0.0924956369982548,"MS"
"2","MS","GO:0005975","Carbohydrate metabolic process","176/2318","228/4011",0.771929824561403,1.33572498978248,6.10707628914618,2.14428266170105e-10,4.12881626510537e-07,3.81795170764982e-07,"P18669/P02753/Q15848/Q16706/P15121/P33908/Q04446/P35555/P05062/P04066/P80108/P26927/P05090/O00462/P07686/P14550/Q9Y5C1/Q86SF2/Q9UJJ9/Q01469/P08567/P17050/Q00796/O75874/P24298/Q16394/Q92187/O95336/P07738/Q9NPG4/P12109/P06744/P17900/P36222/P22413/Q7LGC8/P48506/P04075/Q9UKK9/Q9NSC7/Q9NRB3/P17174/Q96G03/P09972/P01137/P06865/Q01459/Q10469/P06733/Q9Y274/P48163/P52790/Q6PCE3/P04406/P09467/Q9BTY2/Q07654/P11216/P22692/A6NDG6/P49247/P40189/Q7LFX5/P36871/P41159/Q9UKM7/O43451/P09104/O43529/O75752/P21695/Q9HAT2/P10253/Q9Y2E5/P06280/P01275/P04746/P07205/P49641/Q9NR34/O43813/Q7Z4W1/Q16531/P62140/P56537/P04155/Q99519/Q04760/Q3T906/O60476/O43488/Q3LXA3/P52848/P46926/P34949/Q96HE7/Q8NCH0/Q9Y315/Q8NET6/O43280/P40926/Q9NR45/P08195/P00558/P11413/P17936/Q00610/P15291/Q15185/Q14697/P32189/P48357/P0DTE7/P19961/O95479/Q93063/P37840/P30613/P14618/Q16539/P12931/Q16851/A2VDF0/P08236/P01344/P78417/P00338/P52209/Q13231/Q9BXJ4/P60174/Q9P2X0/P37837/Q16822/P51606/Q93009/O00754/P17858/P05019/P50053/P06737/Q9H488/Q12794/Q9BXD5/P17612/P38571/Q13724/Q9UK23/Q01813/Q9BXJ1/P02730/P05067/P62136/P19367/Q9BWS9/Q15043/P01127/P06213/P13929/Q13976/Q96AT9/O43399/P16278/P40763/Q9NPF2/Q15782/P01133/P48735/P41236/Q96RP7/Q9UJ70/Q9BQT9/P31749/P35475/P07902/Q96JF0",176,0.0759275237273512,0.0568436798803291,"MS"
"3","MS","GO:0007596","Blood coagulation","120/2318","150/4011",0.8,1.38429680759275,5.61258496471522,4.10423316281017e-09,5.26846730332732e-06,4.87179676834625e-06,"P00451/P07225/P00734/P12259/P01008/P04275/P00747/P05546/P02749/Q04756/P02675/P01009/Q9UK55/Q9Y490/P02649/P00488/P23142/P03952/P00742/P05160/P04196/P04264/Q96IY4/P00748/P04004/P01042/P0DJI8/Q12866/P32119/P07359/P16109/O00299/P08567/P30101/P07996/P68871/P21291/Q4LDE5/P08697/Q08830/Q13201/P08758/P40197/Q9UNN8/Q9H4B7/Q9BXX0/Q15465/P17301/P62937/P00740/P49257/Q12884/P03951/P04792/P02776/P21926/P35579/Q13418/P40189/P18054/P10646/P49747/P08311/P08217/P42768/P02671/Q06418/Q5VY43/P25116/Q8TF42/P06280/P05120/Q9Y6C2/O95467/P05106/Q76LX8/P07204/P20851/P17252/Q9BZD6/P60709/P22891/P21333/P05155/P18206/P04070/P08709/P02679/P02461/Q86UX7/Q9HCN6/Q86YW5/Q16539/P12931/P05121/Q9Y251/Q12913/P19105/P24844/P13688/P29350/P13987/Q03405/Q14393/P07093/P07355/P30530/P08887/P16671/Q14644/Q9BXJ1/P02730/P43405/P16234/P04085/P01127/P13224/Q13976/Q05655/O95866",120,0.0517687661777394,0.037397157816006,"MS"
"4","MS","GO:0050817","Coagulation","121/2318","152/4011",0.796052631578947,1.37746639571318,5.55089640124477,6.23264946070308e-09,5.51019449900808e-06,5.09532397330682e-06,"P00451/P07225/P00734/P12259/P01008/P04275/P00747/P05546/P02749/Q04756/P02675/P01009/Q9UK55/Q9Y490/P02649/P00488/P23142/P03952/P00742/P05160/P04196/P04264/Q96IY4/P00748/P04004/P01042/P0DJI8/Q12866/P32119/P07359/P16109/O00299/P08567/P30101/P07996/P68871/P21291/Q4LDE5/P08697/Q08830/Q13201/P08758/P40197/Q9UNN8/Q9H4B7/Q9BXX0/Q15465/P17301/P62937/P00740/P49257/Q12884/P03951/P04792/P02776/P21926/P35579/Q13418/P40189/P18054/P10646/P49747/P08311/P08217/P42768/P02671/Q06418/Q5VY43/P25116/Q8TF42/P06280/P05120/Q9Y6C2/O95467/P05106/Q76LX8/P07204/P20851/P17252/Q9BZD6/P60709/P22891/P21333/P05155/P18206/P04070/P08709/P02679/P02461/Q86UX7/Q9HCN6/Q86YW5/Q16539/P12931/P05121/Q9Y251/Q12913/P19105/P24844/P13688/P29350/P13987/Q03405/Q14393/P07093/P07355/P30530/P08887/P16671/Q14644/Q9BXJ1/P02730/P43405/P16234/P04085/P01127/P13224/Q13976/Q15389/Q05655/O95866",121,0.0522001725625539,0.0378957865868861,"MS"
"5","MS","GO:0006956","Complement activation","51/2318","55/4011",0.927272727272727,1.60452584516433,5.28163639000479,7.15423850819018e-09,5.51019449900808e-06,5.09532397330682e-06,"P05156/P01024/P08603/P00751/P01023/P07358/P02748/P00746/P07357/P10643/P04003/O75636/P0C0L5/P01031/P13671/P09871/O43866/P00736/P07360/P04264/Q9NZP8/P48740/P06681/P02746/P11226/Q9BXR6/O00187/P36980/Q4LDE5/P27918/P02745/Q03591/Q9Y6Z7/Q15485/P02747/P17927/O00602/P20851/P05155/Q9BWP8/P10909/P0C0L4/Q02985/Q92496/Q9H4X1/P08174/P20023/Q9Y279/P13987/Q9NZC2/P15529",51,0.0220017256255393,0.0137122911992022,"MS"
"6","MS","GO:0007599","Hemostasis","121/2318","153/4011",0.790849673202614,1.36846334737519,5.43699983771321,1.3041721314994e-08,8.37061146400696e-06,7.74037600151308e-06,"P00451/P07225/P00734/P12259/P01008/P04275/P00747/P05546/P02749/Q04756/P02675/P01009/Q9UK55/Q9Y490/P02649/P00488/P23142/P03952/P00742/P05160/P04196/P04264/Q96IY4/P00748/P04004/P01042/P0DJI8/Q12866/P32119/P07359/P16109/O00299/P08567/P30101/P07996/P68871/P21291/Q4LDE5/P08697/P06744/Q08830/Q13201/P08758/P40197/Q9UNN8/Q9H4B7/Q9BXX0/Q15465/P17301/P62937/P00740/P49257/Q12884/P03951/P04792/P02776/P21926/P35579/Q13418/P40189/P18054/P10646/P49747/P08311/P08217/P42768/P02671/Q06418/Q5VY43/P25116/Q8TF42/P06280/P05120/Q9Y6C2/O95467/P05106/Q76LX8/P07204/P20851/P17252/Q9BZD6/P60709/P22891/P21333/P05155/P18206/P04070/P08709/P02679/P02461/Q86UX7/Q9HCN6/Q86YW5/Q16539/P12931/P05121/Q9Y251/Q12913/P19105/P24844/P13688/P29350/P13987/Q03405/Q14393/P07093/P07355/P30530/P08887/P16671/Q14644/Q9BXJ1/P02730/P43405/P16234/P04085/P01127/P13224/Q13976/Q05655/O95866",121,0.0522001725625539,0.0381451009723261,"MS"
"7","MS","GO:0050878","Regulation of body fluid levels","144/2318","190/4011",0.757894736842105,1.31143908087734,5.14590558536989,8.79662455502734e-08,4.83940016591575e-05,4.47503471724173e-05,"P00451/P07225/P00734/P12259/P01008/P04275/P00747/P05546/P02749/Q04756/P02675/P01009/Q9UK55/Q9Y490/P02649/P00488/P15121/P23142/P03952/P00742/P05160/P04196/P04264/Q96IY4/P00748/P04004/P01042/P0DJI8/Q12866/P32119/P07359/P16109/O00299/P08567/P30101/P07996/P68871/P21291/Q4LDE5/Q16394/P08697/P06744/Q08830/Q13201/P08758/P40197/Q9UNN8/Q9H4B7/Q9BXX0/Q15465/P17301/P62937/P00740/P01236/P49257/Q7Z3B1/Q12884/P03951/P04792/P02776/P21926/P35579/Q9ULI3/Q13418/P40189/P18054/P10646/P49747/P08311/P08217/P42768/P02671/Q06418/Q5VY43/P25116/Q8TF42/P06280/P05120/Q9Y6C2/O95467/Q9GZZ8/P00995/P00813/P05106/P51692/Q76LX8/O95994/P07204/Q9HCU4/P20851/P17252/Q02817/Q9BZD6/P60709/P22891/P21333/P05155/P18206/P04070/P08709/P02679/P02461/Q86UX7/Q9HCN6/Q86YW5/Q93063/P00533/Q16539/P12931/P05121/Q9Y251/Q9NP55/Q12913/P19105/P24844/P07911/P13688/P15531/P29350/P13987/Q03405/Q14393/P07093/P07355/P30530/P08887/P04899/P17612/P16671/Q14644/Q9BXJ1/P02730/Q08345/P43405/P16234/P04085/P01127/P13224/Q13976/Q15303/Q05655/P53621/O95866/Q08209",144,0.0621225194132873,0.0473697332336076,"MS"
"8","MS","GO:0006082","Organic acid metabolic process","216/2318","302/4011",0.71523178807947,1.23761635115908,5.02402509975791,2.08302548399657e-07,9.35474548042122e-05,8.65041314225012e-05,"P01024/P00352/P06727/P18669/P27169/Q15848/P15121/P09211/P05062/P02654/P02655/P07686/P16930/P14550/P21399/Q9Y5C1/P41222/O95497/Q13867/Q01469/P02656/Q00796/P07237/P07195/O75874/P15907/P24298/P11150/Q15166/P07738/Q99497/P12109/P06744/Q93070/P07203/P12104/P00966/P22413/P48506/P04075/Q8NCC3/Q6Q788/P16444/Q9NRB3/Q9Y617/P17174/P06858/Q6GTS8/P09972/P49327/P06865/P15085/P06733/P14174/Q9Y5X9/P48163/P52790/P04406/Q9UBQ7/P16152/P09467/Q4G0S4/P31323/P11766/P00480/Q99685/P18054/P36871/P41159/Q96IU4/Q11201/Q12882/Q93088/Q9Y2Y8/O60568/Q9H479/P09104/O60760/Q9UJ14/P21695/P48507/Q9Y263/P22304/P00326/P07205/Q9UHY7/Q9H0H3/P04054/P53396/Q7Z4W1/Q9UBR1/P56537/P00325/Q14914/P05413/P29373/Q99798/P07148/P10746/Q9NQR4/P42126/O95372/P11586/P16662/P51692/O15067/P09110/P30520/P15104/P46926/Q96HE7/Q9BYZ2/Q8NCH0/P09681/P61457/Q16762/Q16719/P52788/P40926/P22059/Q13011/P16050/Q9NRN7/Q9NR45/O60704/P09960/P00558/P43251/P22105/Q15185/P40925/P10912/P07108/P31327/P10721/P31939/P37840/P05164/P11362/P30613/P14618/Q9H4A9/Q16539/P12931/Q16851/P78417/P00338/P28161/Q03013/P52209/P04424/Q9Y2S2/P60174/P36269/P0DMM9/P50225/Q16822/P32754/P13688/P23141/P51606/Q13510/O00748/P22455/P09417/P17858/P42357/P05019/P54687/Q9NR71/Q8NEU8/Q9BXD5/P19438/Q13126/P17612/Q16775/P38571/P16671/P19440/Q01813/P02730/P05067/Q15067/O75608/Q9ULZ3/P00367/P25325/P19367/P43405/P08319/P05089/O00154/P09622/P06213/P13929/P04233/P34896/Q9BV20/P40763/P06133/P35520/O94760/P48735/P51659/Q9UJ70/Q96N76/Q9BQT9/Q99714/P13804/P36969/P42330/P07954/P31749/P35475/O43708/P49137",216,0.093183779119931,0.075292944402892,"MS"
"9","MS","GO:0043436","Oxoacid metabolic process","214/2318","299/4011",0.71571906354515,1.23845951849853,5.01472008326568,2.18625576016076e-07,9.35474548042122e-05,8.65041314225012e-05,"P01024/P00352/P06727/P18669/P27169/Q15848/P15121/P09211/P05062/P02654/P02655/P07686/P16930/P14550/P21399/Q9Y5C1/P41222/O95497/Q13867/Q01469/P02656/Q00796/P07237/P07195/O75874/P15907/P24298/P11150/Q15166/P07738/Q99497/P12109/P06744/Q93070/P07203/P12104/P00966/P22413/P48506/P04075/Q8NCC3/Q6Q788/P16444/Q9NRB3/Q9Y617/P17174/P06858/Q6GTS8/P09972/P49327/P06865/P15085/P06733/P14174/Q9Y5X9/P48163/P52790/P04406/Q9UBQ7/P16152/P09467/Q4G0S4/P31323/P11766/P00480/Q99685/P18054/P36871/P41159/Q96IU4/Q11201/Q12882/Q93088/Q9Y2Y8/O60568/Q9H479/P09104/O60760/Q9UJ14/P21695/P48507/Q9Y263/P22304/P00326/P07205/Q9UHY7/Q9H0H3/P04054/P53396/Q7Z4W1/Q9UBR1/P56537/P00325/Q14914/P05413/P29373/Q99798/P07148/P10746/Q9NQR4/P42126/O95372/P11586/P16662/O15067/P09110/P30520/P15104/P46926/Q96HE7/Q9BYZ2/Q8NCH0/P09681/P61457/Q16762/Q16719/P52788/P40926/P22059/Q13011/P16050/Q9NRN7/Q9NR45/O60704/P09960/P00558/P43251/P22105/Q15185/P40925/P07108/P31327/P10721/P31939/P37840/P05164/P11362/P30613/P14618/Q9H4A9/Q16539/P12931/Q16851/P78417/P00338/P28161/Q03013/P52209/P04424/Q9Y2S2/P60174/P36269/P0DMM9/P50225/Q16822/P32754/P13688/P23141/P51606/Q13510/O00748/P22455/P09417/P17858/P42357/P05019/P54687/Q9NR71/Q8NEU8/Q9BXD5/P19438/Q13126/P17612/Q16775/P38571/P16671/P19440/Q01813/P02730/P05067/Q15067/O75608/Q9ULZ3/P00367/P25325/P19367/P43405/P08319/P05089/O00154/P09622/P06213/P13929/P04233/P34896/Q9BV20/P40763/P06133/P35520/O94760/P48735/P51659/Q9UJ70/Q96N76/Q9BQT9/Q99714/P13804/P36969/P42330/P07954/P31749/P35475/O43708/P49137",214,0.092320966350302,0.0745450012465719,"MS"
"10","MS","GO:0042060","Wound healing","187/2318","260/4011",0.719230769230769,1.24453607221079,4.77041868249123,7.83482314201214e-07,0.000301719039198887,0.00027900217567818,"P00451/P07225/P00734/P12259/P01008/P04275/P00747/P05546/P02749/Q04756/P02675/P01009/Q9UK55/Q9Y490/P02649/P00488/P23142/P03952/P00742/P05160/P04196/P02750/P04264/Q96IY4/P00748/P04004/P02743/P01042/P01033/P08648/P0DJI8/P43121/Q12866/P32119/P07359/P16109/O00299/P08567/P30101/P07996/P04083/P68871/P28906/P21291/Q4LDE5/Q16394/Q09666/P08697/Q08830/P07203/Q13201/P08758/Q14118/P40197/Q9UNN8/Q9H4B7/Q9BXX0/Q9NP84/Q04721/Q15465/P17301/Q06141/P62937/Q9BR76/P00740/Q8WUA8/P01137/P49257/P02538/Q12884/P03951/P15924/P04792/P02776/P21926/P42785/O14656/P35579/Q99439/P61586/Q13418/P40189/P18054/P09601/Q96C24/P10646/P49747/P08311/P08217/P60903/P42768/P02671/Q06418/Q5VY43/P25116/Q8TF42/P06280/P05556/Q9NVJ2/Q8NFZ8/P05120/Q9Y6C2/O95467/Q9GZZ8/P78423/P48509/P18084/P05106/O75351/Q76LX8/P58107/Q16832/O43633/P07204/P20851/P16050/P17252/Q9BZD6/P60709/Q6YHK3/P22891/P21333/P05155/P18206/P04070/P08709/P02679/P02461/Q86UX7/P15291/Q9HCN6/Q86YW5/Q13308/P17813/Q16539/P12931/P05121/Q86YT9/P16070/P06756/P78536/P35968/Q9Y251/Q12913/P19105/P24844/P13688/Q15746/P29350/P13987/Q96PD2/Q03405/Q14393/P07093/P17405/P07355/P05019/P30530/P08887/P21860/P16671/Q14644/Q9BXJ1/P02730/P18564/Q15149/Q08345/Q08495/P20908/P43405/Q5JRA6/P16234/P04085/P01127/Q9H444/P31431/P04626/P13224/Q13976/Q13765/P46108/P09327/Q05655/Q13247/O95866/Q08209/Q9Y3E7",187,0.0806729939603106,0.0648217402144104,"MS"
