biosequence_name,biosequence_accession,biosequence_gene_name,is_covering,pct_coverage,presence_level,probability,confidence,n_observations,norm_PSMs_per_100K,n_distinct_peptides,n_distinct_synpeptides,chromosome,genetic_locus,start_in_chromosome,end_in_chromosome,strand,relationship_phrase,reference_biosequence,represented_by_biosequence_id,group_number,seq_unique_prots_in_group,protein_group_seq_align_link,is_keratin,is_immunoglobulin,biosequence_description,organism_full_name
Q9Y6Z7,Q9Y6Z7,,C,,canonical,0.999,0.000,4867,7.366,40,,,,,,,,,P04114,1033,64541,,,,nP20K \PName=Collectin-10 isoform Iso 1 \GName=COLEC10 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=277 \SV=2 \EV=157 \PE=1 \ModResPsi=(176|MOD:00798|half cystine)(270|MOD:00798|half cystine)(248|MOD:00798|half cystine)(262|MOD:00798|half cystine) \ModRe,Homo sapiens
Q9Y6Y9,Q9Y6Y9,,C,,canonical,0.998,0.000,27,0.077,4,,,,,,,,,Q9Y6Y9,4287,9,,,,nP20K \PName=Lymphocyte antigen 96 isoform Iso 1 \GName=LY96 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=160 \SV=2 \EV=187 \PE=1 \ModResPsi=(25|MOD:00798|half cystine)(51|MOD:00798|half cystine)(37|MOD:00798|half cystine)(148|MOD:00798|half cystine)(95|,Homo sapiens
Q9Y6W5,Q9Y6W5,,C,,canonical,0.999,0.000,57,0.072,12,,,,,,,,,Q9Y6W5,4285,12,,,,nP20K \PName=Actin-binding protein WASF2 isoform Iso 1 \GName=WASF2 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=498 \SV=3 \EV=194 \PE=1 \ModResPsi=(90|MOD:00046|O-phospho-L-serine)(103|MOD:00046|O-phospho-L-serine)(123|MOD:00047|O-phospho-L-threonine)(1,Homo sapiens
Q9Y6V0,Q9Y6V0,,C,,canonical,0.999,0.000,4331,0.408,28,,,,,,,,,P04114,1033,64541,,,,nP20K \PName=Protein piccolo isoform Iso 5 \GName=PCLO \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=5142 \SV=5 \EV=201 \PE=1 \ModResPsi=(429|MOD:00046|O-phospho-L-serine)(655|MOD:00046|O-phospho-L-serine)(656|MOD:00046|O-phospho-L-serine)(683|MOD:00046|O,Homo sapiens
Q9Y6U3,Q9Y6U3,,C,,canonical,0.999,0.000,1254,0.712,19,,,,,,,,,P04114,1033,64541,,,,nP20K \PName=Scinderin isoform Iso 1 \GName=SCIN \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=715 \SV=4 \EV=188 \PE=1 \ModResPsi=(102|MOD:00048|O4'-phospho-L-tyrosine)(337|MOD:00047|O-phospho-L-threonine)(381|MOD:00046|O-phospho-L-serine)(599|MOD:00048|O,Homo sapiens
Q9Y6R7,Q9Y6R7,,C,,canonical,1.000,0.000,141406,14.862,822,,,,,,,,,Q9Y6R7,4283,18,,,,nP20K \PName=IgGFc-binding protein isoform Iso 1 \GName=FCGBP \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=5405 \SV=3 \EV=153 \PE=1 \ModResPsi=(472|MOD:00798|half cystine)(611|MOD:00798|half cystine)(494|MOD:00798|half cystine)(649|MOD:00798|half cystine,Homo sapiens
Q9Y6R1,Q9Y6R1,,C,,canonical,0.998,0.000,2,0.001,2,,,,,,,,,Q9Y6R1,4282,15,,,,nP20K \PName=Electrogenic sodium bicarbonate cotransporter 1 isoform Iso 1 \GName=SLC4A4 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=1079 \SV=1 \EV=174 \PE=1 \ModResPsi=(12|MOD:00046|O-phospho-L-serine)(30|MOD:00048|O4'-phospho-L-tyrosine)(49|MOD:00047|,Homo sapiens
Q9Y6Q6,Q9Y6Q6,,C,,canonical,0.999,0.000,496,0.388,3,,,,,,,,,P04114,1033,64541,,,,nP20K \PName=Tumor necrosis factor receptor superfamily member 11A isoform Iso 1 \GName=TNFRSF11A \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=616 \SV=1 \EV=187 \PE=1 \ModResPsi=(34|MOD:00798|half cystine)(46|MOD:00798|half cystine)(47|MOD:00798|half cys,Homo sapiens
Q9Y6N7,Q9Y6N7,,C,,canonical,1.000,0.000,2175,0.633,66,,,,,,,,,P04114,1033,64541,,,,nP20K \PName=Roundabout homolog 1 isoform Iso 1 \GName=ROBO1 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=1651 \SV=1 \EV=198 \PE=1 \ModResPsi=(89|MOD:00798|half cystine)(147|MOD:00798|half cystine)(191|MOD:00798|half cystine)(240|MOD:00798|half cystine)(,Homo sapiens
Q9Y6N6,Q9Y6N6,,C,,canonical,0.999,0.000,197,0.058,26,,,,,,,,,P04114,1033,64541,,,,nP20K \PName=Laminin subunit gamma-3 isoform Iso 1 \GName=LAMC3 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=1575 \SV=3 \EV=188 \PE=1 \ModResPsi=(271|MOD:00798|half cystine)(280|MOD:00798|half cystine)(273|MOD:00798|half cystine)(290|MOD:00798|half cysti,Homo sapiens
Q9Y6K5,Q9Y6K5,,C,,canonical,0.999,0.000,21,0.009,5,,,,,,,,,P04114,1033,64541,,,,nP20K \PName=2'-5'-oligoadenylate synthase 3 isoform Iso 1 \GName=OAS3 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=1087 \SV=3 \EV=174 \PE=1 \ModResPsi=(1|MOD:00058|N-acetyl-L-methionine)(351|MOD:00046|O-phospho-L-serine)(365|MOD:00047|O-phospho-L-threon,Homo sapiens
Q9Y6I3,Q9Y6I3,,C,,canonical,0.999,0.000,2,0.002,2,,,,,,,,,P04114,1033,64541,,,,nP20K \PName=Epsin-1 isoform Iso 1 \GName=EPN1 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=576 \SV=2 \EV=202 \PE=1 \ModResPsi=(11|MOD:00134|N6-glycyl-L-lysine)(86|MOD:00134|N6-glycyl-L-lysine)(97|MOD:00134|N6-glycyl-L-lysine)(107|MOD:00134|N6-glycyl-L-l,Homo sapiens
Q9Y6G9,Q9Y6G9,,C,,canonical,0.999,0.000,6,0.005,4,,,,,,,,,O43237,647,24,,,,nP20K \PName=Cytoplasmic dynein 1 light intermediate chain 1 isoform Iso 1 \GName=DYNC1LI1 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=523 \SV=3 \EV=175 \PE=1 \ModResPsi=(9|MOD:00046|O-phospho-L-serine)(12|MOD:00046|O-phospho-L-serine)(13|MOD:00046|O-ph,Homo sapiens
Q9Y6F6,Q9Y6F6,,C,,canonical,0.999,0.000,85,0.040,23,,,,,,,,,P04114,1033,64541,,,,"nP20K \PName=Inositol 1,4,5-triphosphate receptor associated 1 isoform Iso 9 \GName=IRAG1 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=904 \SV=4 \EV=140 \PE=1 \ModResPsi=(110|MOD:00046|O-phospho-L-serine)(175|MOD:00046|O-phospho-L-serine)(189|MOD:00046|O",Homo sapiens
Q9Y6E0,Q9Y6E0,,C,,canonical,0.999,0.000,286,0.260,20,,,,,,,,,P04114,1033,64541,,,,nP20K \PName=Serine/threonine-protein kinase 24 isoform B \GName=STK24 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=443 \SV=1 \EV=205 \PE=1 \ModResPsi=(18|MOD:00047|O-phospho-L-threonine)(190|MOD:00047|O-phospho-L-threonine)(194|MOD:00047|O-phospho-L-thr,Homo sapiens
