"Study","UniProt","Gene.Name","Description","SomaID","SomaScan.SeqID","OlinkID_Previous.study","Correlation_Previous.study","N_Previous.study","P.value_Previous.study","Adj.p.value_Previous.study","Cor.interval_Previous.study","Cor.method_Previous.study","OlinkID_Sissala","Correlation_Sissala","N_Sissala","P.value_Sissala","Adj.p.value_Sissala","Cor.interval_Sissala","Cor.method_Sissala"
"Dammer et al.","P09104","ENO2","Gamma-enolase","SL001731","ENO2.10339.48",NA,0.867498893430921,35,1.54720677036786e-11,NA,"Strong correlation","Pearson","OID21046",0.851202845972315,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","Q9Y5C1","ANGPTL3","Angiopoietin-related protein 3","SL006803","ANGPTL3.10391.1",NA,0.87149763133997,35,9.62576104985954e-12,NA,"Strong correlation","Pearson","OID20407",0.795921242647318,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","O95445","APOM","Apolipoprotein M","SL004747","APOM.10445.20",NA,0.637369296658957,35,3.82790536040321e-05,NA,"Moderate correlation","Pearson","OID20374",0.829224049874961,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","Q13231","CHIT1","Chitotriosidase-1","SL006029","CHIT1.3600.2",NA,0.929577352033578,35,7.35456092935918e-16,NA,"Strong correlation","Pearson","OID20312",0.916047338945441,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","Q03403","TFF2","Trefoil factor 2","SL002602","TFF2.9191.8",NA,0.941888144793976,35,3.38763555274795e-17,NA,"Strong correlation","Pearson","OID20787",0.823444036540596,52,0,0,"Strong correlation","Spearman"
"Dammer et al.","P13987","CD59","CD59 glycoprotein","SL004557","CD59.10480.33",NA,0.426592713657158,35,0.0106026381342116,NA,"Weak correlation","Pearson","OID20339",0.611073931879821,88,0,0,"Moderate correlation","Spearman"
"Dammer et al.","P16444","DPEP1","Dipeptidase 1","SL008734","DPEP1.8794.13",NA,0.193591690006644,34,0.272632816624739,NA,"No correlation","Pearson","OID20897",0.736698344065258,78,1.4962498725721e-14,4.17102742255284e-14,"Strong correlation","Spearman"
"Dammer et al.","Q07954","LRP1","Prolow-density lipoprotein receptor-related protein 1","SL018603","LRP1.10699.52",NA,0.634518459291644,35,4.24915777478295e-05,NA,"Moderate correlation","Pearson","OID21293",0.462417667570709,88,7.3700071911736e-06,1.34205453529597e-05,"Weak correlation","Spearman"
"Dammer et al.","P09603","CSF1","Macrophage colony-stimulating factor 1","SL002684","CSF1.10741.22",NA,0.505730072269351,33,0.00267859967732369,NA,"Moderate correlation","Pearson","OID20719",0.771529710119404,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","Q9UBP4","DKK3","Dickkopf-related protein 3","SL009412","DKK3.10746.24",NA,0.9228690933436,35,3.13730507232467e-15,NA,"Strong correlation","Pearson","OID20264",0.824504244302772,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","Q9UKJ1","PILRA","Paired immunoglobulin-like type 2 receptor alpha","SL012866","PILRA.8825.4",NA,0.239655904626881,35,0.165552791756382,NA,"No correlation","Pearson","OID21129",0.533479152426521,76,1.06025289598438e-06,2.06740158819752e-06,"Moderate correlation","Spearman"
"Dammer et al.","O15031","PLXNB2","Plexin-B2","SL009948","PLXNB2.9216.100",NA,0.320656003664028,35,0.0603723123128815,NA,"Weak correlation","Pearson","OID20317",0.580624141453278,88,5.16145756302416e-09,1.21655231495914e-08,"Moderate correlation","Spearman"
"Dammer et al.","P02452","COL1A1","Collagen alpha-1(I) chain","SL007932","COL1A1.11140.56",NA,0.716649420766149,35,1.28409335477779e-06,NA,"Strong correlation","Pearson","OID20335",0.82172167236096,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","Q9NPY3","CD93","Complement component C1q receptor","SL007696","CD93.14136.234",NA,0.867407880753859,35,1.56373004879888e-11,NA,"Strong correlation","Pearson","OID20397",0.779155366137156,88,0,0,"Strong correlation","Spearman"
