"UniProt","Gene.Name","OlinkID","Description","SomaScan.SeqID","Correlation_Sissala","P.value_Sissala","Adj.p.value_Sissala","N_Sissala","Correlation_Eldjarn","P.value_Eldjarn","cis.pQTL.olink_Eldjarn","cis.pQTL.soma_Eldjarn","confidence.tier_Eldjarn","cis.pQTL.platform_Eldjarn","High.corr.in.both.studies"
"P05156","CFI","OID30772","Complement factor I","2567_5",0.695502095734564,0,0,88,0.42,"4.9303667040939098E-59","Y","Y","2","Both",FALSE
"P01024","C3","OID30776","Complement C3","2683_1",0.423813884681765,4.58378862100802e-05,7.9862613474044e-05,88,0.59,"5.2676742099841498E-131","Y","Y","1","Both",FALSE
"P01024","C3","OID30776","Complement C3","2754_50",0.423813884681765,4.58378862100802e-05,7.9862613474044e-05,88,0.57,"5.1096656323719203E-120","Y","Y","1","Both",FALSE
"P01024","C3","OID30776","Complement C3","4480_59",0.423813884681765,4.58378862100802e-05,7.9862613474044e-05,88,0.61,"1.5006489595230601E-138","Y","Y","1","Both",FALSE
"P01024","C3","OID30776","Complement C3","4900_8",0.423813884681765,4.58378862100802e-05,7.9862613474044e-05,88,0.49,"8.8621994749141501E-85","Y","Y","2","Both",FALSE
"P01024","C3","OID30776","Complement C3","5803_24",0.423813884681765,4.58378862100802e-05,7.9862613474044e-05,88,0.55,"2.6871684843917402E-110","Y","Y","1","Both",FALSE
"P02647","APOA1","OID30769","Apolipoprotein A-I","2750_3",0.767288785576744,2.83435405100771e-18,8.3550541085841e-18,88,-0.01,"0.80347010415088604","Y","Y","2","Both",FALSE
"P04114","APOB","OID30673","Apolipoprotein B-100","2797_56",-0.180990454721567,0.0915002757203208,0.115811447632558,88,0.3,"2.0794836677111101E-29","N","Y","3","SomaScan only",FALSE
"P07225","PROS1","OID30737","Vitamin K-dependent protein S","2700_56",0.57149524275519,6.0578713764108e-09,1.41308611239004e-08,88,0.5,"1.5196721098660599E-88","Y","Y","2","Both",FALSE
"P00352","ALDH1A1","OID21128","Aldehyde dehydrogenase 1A1","11265_8",0.908650628720369,0,0,88,0.71,"5.6018460079598904E-224","Y","Y","1","Both",TRUE
"P08603","CFH","OID30790","Complement factor H","4159_130",0.523422915712726,2.61726861032908e-07,5.37253865647552e-07,88,0.32,"1.5177222185105001E-33","Y","Y","2","Both",FALSE
"P20742","PZP","OID30730","Pregnancy zone protein","6580_29",0.964196400267691,0,0,88,0.88,"0","Y","Y","1","Both",TRUE
"P02787","TF","OID30783","Serotransferrin","4162_54",0.368842101559092,0.00040605719999593,0.000649346428888676,88,0.01,"0.72124530639656204","Y","Y","2","Both",FALSE
"P02760","AMBP","OID21413","Protein AMBP","15453_3",0.600736148779543,3.78390427280295e-10,9.73127089748184e-10,88,0.5,"1.5079940746157099E-91","Y","Y","2","Both",FALSE
"P13647","KRT5","OID20860","Keratin, type II cytoskeletal 5","11177_16",0.0137367475608467,0.898773990230731,0.915808515316332,88,0.4,"5.0273491086662599E-57","Y","Y","2","Both",FALSE
"P00734","F2","OID30723","Prothrombin","4157_2",0.469816446309925,3.8740409308596e-06,7.27752447743842e-06,88,0.19,"3.2396960942035001E-12","Y","Y","2","Both",FALSE
"P00734","F2","OID30723","Prothrombin","5316_54",0.469816446309925,3.8740409308596e-06,7.27752447743842e-06,88,0.03,"0.29852199641272797","Y","Y","2","Both",FALSE
"P02765","AHSG","OID30706","Alpha-2-HS-glycoprotein","3581_53",0.615177344933254,0,0,88,0.34,"5.7177561807369495E-38","Y","Y","2","Both",FALSE
"P01011","SERPINA3","OID30786","Alpha-1-antichymotrypsin","2879_9",0.825508083547603,0,0,88,-0.05,"9.2779338713037701E-2","Y","Y","2","Both",FALSE
"P01011","SERPINA3","OID30786","Alpha-1-antichymotrypsin","4153_11",0.825508083547603,0,0,88,0.43,"2.77985175169953E-61","Y","Y","2","Both",FALSE
"P01008","SERPINC1","OID30789","Antithrombin-III","3344_60",0.584915047534144,2.17496874848348e-09,5.26939853441599e-09,88,0.16,"5.7736948186772597E-9","Y","Y","2","Both",FALSE
"P04275","VWF","OID20256","von Willebrand factor","3050_7",0.714275650734388,0,0,88,0.19,"7.1404473948923696E-13","Y","Y","2","Both",FALSE
"P00747","PLG","OID30785","Plasminogen","3710_49",0.513137966256913,4.79435400397903e-07,9.66576012587914e-07,88,0.36,"9.5821676440865603E-43","Y","Y","2","Both",FALSE
"P00747","PLG","OID30785","Plasminogen","4150_75",0.513137966256913,4.79435400397903e-07,9.66576012587914e-07,88,0.05,"6.2624052536128003E-2","Y","N","3","Olink only",FALSE
"P00747","PLG","OID30785","Plasminogen","4151_6",0.513137966256913,4.79435400397903e-07,9.66576012587914e-07,88,0.49,"3.5852204192063801E-85","Y","Y","2","Both",FALSE
"P00751","CFB","OID30755","Complement factor B","4129_72",0.823641294776514,0,0,88,0.65,"1.95766584438673E-163","Y","Y","1","Both",FALSE
"P05546","SERPIND1","OID30767","Heparin cofactor 2","3316_58",0.769317471389336,2.03827232748992e-18,6.05581436246346e-18,88,0.68,"3.3659348221955299E-183","Y","Y","1","Both",FALSE
"P06727","APOA4","OID30733","Apolipoprotein A-IV","17685_9",0.751963650452608,0,0,88,0.76,"2.7788583838555599E-259","Y","Y","1","Both",TRUE
"P02652","APOA2","OID30686","Apolipoprotein A-II","7127_3",0.00405057940896763,0.970124637455413,0.976091802226809,88,0.01,"0.813416425472126","Y","N","3","Olink only",FALSE
