"Study","UniProt","Gene.Name","Description","OlinkID_Previous.study","Correlation_Previous.study","N_Previous.study","P.value_Previous.study","Adj.p.value_Previous.study","Cor.interval_Previous.study","Cor.method_Previous.study","OlinkID_Sissala","Correlation_Sissala","N_Sissala","P.value_Sissala","Adj.p.value_Sissala","Cor.interval_Sissala","Cor.method_Sissala"
"Petrera et al.","P02760","AMBP","Protein AMBP","OID00430",0.440907242013778,173,1.27016683201732e-09,3.21277492804381e-09,"Weak correlation","Spearman","OID21413",0.600736148779543,88,3.78390427280295e-10,9.73127089748184e-10,"Moderate correlation","Spearman"
"Petrera et al.","P15144","ANPEP","Aminopeptidase N","OID00611",0.532511403814095,170,0,0,"Moderate correlation","Spearman","OID20350",0.684779880866244,88,1.88021937721082e-13,5.12745815669326e-13,"Moderate correlation","Spearman"
"Petrera et al.","O95445","APOM","Apolipoprotein M","OID01221",0.461665106679147,171,3.06702644707736e-10,8.24263357652042e-10,"Weak correlation","Spearman","OID20374",0.829224049874961,88,0,0,"Strong correlation","Spearman"
"Petrera et al.","P30043","BLVRB","Flavin reductase (NADPH)","OID01424",0.257142857142857,6,0.658333333333333,0.707708333333333,"No correlation","Spearman","OID21141",0.887957451304991,88,0,0,"Strong correlation","Spearman"
"Petrera et al.","P02745","C1QA","Complement C1q subcomponent subunit A","OID05427",0.135601744765472,173,0.075286722366853,0.0952155606404317,"No correlation","Spearman","OID20654",0.0964390123630728,88,0.370727892916208,0.419390572246893,"No correlation","Spearman"
"Petrera et al.","P06681","C2","Complement C2","OID01233",0.335483716130271,171,8.23778186158087e-06,1.36240238479991e-05,"Weak correlation","Spearman","OID20410",0.586737816293491,88,1.88564942626181e-09,4.58814267726203e-09,"Moderate correlation","Spearman"
"Petrera et al.","P00915","CA1","Carbonic anhydrase 1","OID01223",0.61518471533464,116,0,0,"Moderate correlation","Spearman","OID20409",0.928551301468776,88,0,0,"Strong correlation","Spearman"
"Petrera et al.","P00918","CA2","Carbonic anhydrase 2","OID01477",0.222983870967742,31,0.226965436737122,0.263770642694493,"No correlation","Spearman","OID21149",0.904194991370505,88,0,0,"Strong correlation","Spearman"
"Petrera et al.","P33151","CDH5","Cadherin-5","OID00587",0.501339631300091,173,0,0,"Moderate correlation","Spearman","OID20243",0.702711270423412,88,2.33058604381026e-14,6.46494261292821e-14,"Strong correlation","Spearman"
"Petrera et al.","Q9BYE9","CDHR2","Cadherin-related family member 2","OID05477",0.0439996758771574,42,0.781475674690296,0.800082238373398,"No correlation","Spearman","OID21282",0.926473178119827,88,0,0,"Strong correlation","Spearman"
