"Platform","UniProt","Gene.Name","Description","Assay","OlinkID","Panel","Technical.CV","Analyzed"
"MS","A0A075B6H7","IGKV3-7","Probable non-functional immunoglobulin kappa variable 3-7",NA,NA,NA,14.8547395839569,TRUE
"MS","A0A075B6H9","IGLV4-69","Immunoglobulin lambda variable 4-69",NA,NA,NA,9.19342951820562,TRUE
"MS","A0A075B6I0","IGLV8-61","Immunoglobulin lambda variable 8-61",NA,NA,NA,19.0030859784383,TRUE
"MS","A0A075B6I1","IGLV4-60","Immunoglobulin lambda variable 4-60",NA,NA,NA,NA,FALSE
"MS","A0A075B6I7","IGLV5-48","Probable non-functional immunoglobulin lambda variable 5-48",NA,NA,NA,NA,FALSE
"MS","A0A075B6I9","IGLV7-46","Immunoglobulin lambda variable 7-46",NA,NA,NA,14.7155425145731,TRUE
"MS","A0A075B6K4","IGLV3-10","Immunoglobulin lambda variable 3-10",NA,NA,NA,18.7922918681068,TRUE
"MS","A0A075B6Q5","IGHV3-64","Immunoglobulin heavy variable 3-64",NA,NA,NA,NA,FALSE
"MS","A0A075B6R2","IGHV4-4","Immunoglobulin heavy variable 4-4",NA,NA,NA,50.0979219606658,TRUE
"MS","A0A075B6R9","IGKV2D-24","Probable non-functional immunoglobulin kappa variable 2D-24",NA,NA,NA,15.2530783913999,TRUE
"MS","A0A075B6S2","IGKV2D-29","Immunoglobulin kappa variable 2D-29",NA,NA,NA,7.33353702417181,TRUE
"MS","A0A075B6S5","IGKV1-27","Immunoglobulin kappa variable 1-27",NA,NA,NA,17.3430084837276,TRUE
"MS","A0A075B6S6","IGKV2D-30","Immunoglobulin kappa variable 2D-30",NA,NA,NA,17.250254488586,TRUE
"MS","A0A087WSY4","IGHV4-30-2","Immunoglobulin heavy variable 4-30-2",NA,NA,NA,NA,FALSE
"MS","A0A087WSY6","IGKV3D-15","Immunoglobulin kappa variable 3D-15",NA,NA,NA,15.0511724132275,TRUE
"MS","A0A087WSZ0","IGKV1D-8","Immunoglobulin kappa variable 1D-8",NA,NA,NA,8.18461286719442,TRUE
"MS","A0A0A0MS14","IGHV1-45","Immunoglobulin heavy variable 1-45",NA,NA,NA,13.0126441266034,TRUE
"MS","A0A0A0MS15","IGHV3-49","Immunoglobulin heavy variable 3-49",NA,NA,NA,5.59785230476651,TRUE
"MS","A0A0A0MT36","IGKV6D-21","Immunoglobulin kappa variable 6D-21",NA,NA,NA,NA,FALSE
"MS","A0A0A0MT89","IGKJ1","Immunoglobulin kappa joining 1",NA,NA,NA,63.8530689688421,TRUE
"MS","A0A0B4J1U3","IGLV1-36","Immunoglobulin lambda variable 1-36",NA,NA,NA,12.7849536439945,TRUE
"MS","A0A0B4J1U7","IGHV6-1","Immunoglobulin heavy variable 6-1",NA,NA,NA,14.6267695872234,TRUE
"MS","A0A0B4J1V0","IGHV3-15","Immunoglobulin heavy variable 3-15",NA,NA,NA,13.6843075168624,TRUE
"MS","A0A0B4J1V2","IGHV2-26","Immunoglobulin heavy variable 2-26",NA,NA,NA,12.3508395561788,TRUE
"MS","A0A0B4J1V6","IGHV3-73","Immunoglobulin heavy variable 3-73",NA,NA,NA,NA,FALSE
"MS","A0A0B4J1X5","IGHV3-74","Immunoglobulin heavy variable 3-74",NA,NA,NA,NA,FALSE
