"UniProt","Gene.Name","Description","OlinkID","Assay","Panel","Panel_Lot_Nr","PlateID","Analyzed.MS","Detected.MS","Perc.Missing.MS","Analyzed.Olink","Detected.Olink","Perc.Missing.Olink","Overlapping","Detected.Platform","In.HPA","In.HPA.Plasma","In.HPPP","In.Ref.Plasma.Proteome"
"P05156","CFI","Complement factor I","OID30772","CFI","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P01024","C3","Complement C3","OID30776","C3","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P02647","APOA1","Apolipoprotein A-I","OID30769","APOA1","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P04114","APOB","Apolipoprotein B-100","OID30673","APOB","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,6.81818181818182,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P00451","F8","Coagulation factor VIII",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P02790","HPX","Hemopexin",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P07225","PROS1","Vitamin K-dependent protein S","OID30737","PROS1","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q9Y6R7","FCGBP","IgGFc-binding protein",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,FALSE,TRUE,TRUE
"P00352","ALDH1A1","Aldehyde dehydrogenase 1A1","OID21128","ALDH1A1","Neurology","B04414","Run122",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P08603","CFH","Complement factor H","OID30790","CFH","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P20742","PZP","Pregnancy zone protein","OID30730","PZP","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,23.8636363636364,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P02787","TF","Serotransferrin","OID30783","TF","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P02760","AMBP","Protein AMBP","OID21413","AMBP","Oncology","B04412","Run122_-_INFONC",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P00450","CP","Ceruloplasmin",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P35527","KRT9","Keratin, type I cytoskeletal 9",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P19823","ITIH2","Inter-alpha-trypsin inhibitor heavy chain H2",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P54802","NAGLU","Alpha-N-acetylglucosaminidase",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P13647","KRT5","Keratin, type II cytoskeletal 5","OID20860","KRT5","Neurology","B04414","Run122",TRUE,TRUE,0,TRUE,TRUE,3.40909090909091,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P00734","F2","Prothrombin","OID30723","F2","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P12259","F5","Coagulation factor V",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P02768","ALB","Albumin",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P02765","AHSG","Alpha-2-HS-glycoprotein","OID30706","AHSG","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P01011","SERPINA3","Alpha-1-antichymotrypsin","OID30786","SERPINA3","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P01008","SERPINC1","Antithrombin-III","OID30789","SERPINC1","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P04275","VWF","von Willebrand factor","OID20256","VWF","Cardiometabolic","B04413","Run122",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P19652","ORM2","Alpha-1-acid glycoprotein 2",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P00747","PLG","Plasminogen","OID30785","PLG","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P00751","CFB","Complement factor B","OID30755","CFB","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P01023","A2M","Alpha-2-macroglobulin",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P05546","SERPIND1","Heparin cofactor 2","OID30767","SERPIND1","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P06727","APOA4","Apolipoprotein A-IV","OID30733","APOA4","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P02766","TTR","Transthyretin","OID30782","TTR","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P02652","APOA2","Apolipoprotein A-II","OID30686","APOA2","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P06396","GSN","Gelsolin","OID30714","GSN","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P07358","C8B","Complement component C8 beta chain","OID30719","C8B","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P02748","C9","Complement component C9","OID30698","C9","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P00746","CFD","Complement factor D","OID30738","CFD","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P02786","TFRC","Transferrin receptor protein 1","OID20369","TFRC","Cardiometabolic","B04413","Run122",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P02749","APOH","Beta-2-glycoprotein 1","OID21072","APOH","Neurology","B04414","Run122",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P08185","SERPINA6","Corticosteroid-binding globulin","OID30743","SERPINA6","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P07357","C8A","Complement component C8 alpha chain",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P36955","SERPINF1","Pigment epithelium-derived factor","OID30757","SERPINF1","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P19827","ITIH1","Inter-alpha-trypsin inhibitor heavy chain H1","OID30722","ITIH1","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P10643","C7","Complement component C7","OID30766","C7","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P07451","CA3","Carbonic anhydrase 3","OID20271","CA3","Cardiometabolic","B04413","Run122",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P04003","C4BPA","C4b-binding protein alpha chain",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P29622","SERPINA4","Kallistatin","OID30774","SERPINA4","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"O75636","FCN3","Ficolin-3",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P35542","SAA4","Serum amyloid A-4 protein","OID30726","SAA4","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,17.0454545454545,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P01834","IGKC","Immunoglobulin kappa constant",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,FALSE,TRUE,TRUE
"Q04756","HGFAC","Hepatocyte growth factor activator","OID30718","HGFAC","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P25311","AZGP1","Zinc-alpha-2-glycoprotein",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P0C0L5","C4B_2","Complement C4-B",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P01019","AGT","Angiotensinogen","OID30709","AGT","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P00491","PNP","Purine nucleoside phosphorylase",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P43652","AFM","Afamin","OID30741","AFM","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P22792","CPN2","Carboxypeptidase N subunit 2",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q12905","ILF2","Interleukin enhancer-binding factor 2",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P01031","C5","Complement C5","OID30744","C5","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P02675","FGB","Fibrinogen beta chain",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
