"","Platform","UniProt","Gene.Name","Description","Assay","OlinkID","Panel","log2FC","mean.testGrp","mean.refGrp","n.testGrp","n.refGrp","n.total","statistic","p.value","adj.p","parameter","conf.low","conf.high","method","alternative","Significance"
"1","MS","P05156","CFI","Complement factor I","CFI","OID30772","Inflammation II",0.150442638221145,0.143890132727027,-0.00655250549411764,37,51,88,3.41407809879081,0.00102209631186548,0.0136248302852472,77.2722689384543,0.0627021964567191,0.23818307998557,"Welch Two Sample t-test","two.sided","S"
"2","MS","P01024","C3","Complement C3","C3","OID30776","Inflammation II",0.117203853083784,0.169563219583784,0.0523593665,37,51,88,2.74277423425304,0.0074534462743674,0.0510965172303018,83.4988658884328,0.0322194050138853,0.202188301153682,"Welch Two Sample t-test","two.sided","NS"
"3","MS","P02647","APOA1","Apolipoprotein A-I","APOA1","OID30769","Inflammation II",0.228948822721622,0.177112067721622,-0.051836755,37,51,88,3.88299740161314,0.000201930263185352,0.00576394161661606,85.9908251188846,0.111736308298119,0.346161337145124,"Welch Two Sample t-test","two.sided","S"
"4","MS","P07225","PROS1","Vitamin K-dependent protein S","PROS1","OID30737","Inflammation II",0.0946374750683095,0.16808975017027,0.0734522751019608,37,51,88,1.73063549571732,0.0878195507716431,0.270461277679696,71.684865464192,-0.0143805876236684,0.203655537760287,"Welch Two Sample t-test","two.sided","NS"
"5","MS","P00352","ALDH1A1","Aldehyde dehydrogenase 1A1","ALDH1A1","OID21128","Neurology",-0.0658501813204028,-0.148878691024324,-0.0830285097039216,37,51,88,-0.542391400836457,0.589473531985433,0.794003445710437,62.6368529863735,-0.30849049457213,0.176790131931325,"Welch Two Sample t-test","two.sided","NS"
"6","MS","P08603","CFH","Complement factor H","CFH","OID30790","Inflammation II",0.108320050674722,0.181440929786486,0.0731208791117647,37,51,88,2.72742462425249,0.00780258605407305,0.0522314289972655,82.160198999753,0.0293162920860248,0.187323809263419,"Welch Two Sample t-test","two.sided","NS"
"7","MS","P02787","TF","Serotransferrin","TF","OID30783","Inflammation II",0.1281336605062,0.12729399972973,-0.000839660776470593,37,51,88,2.34433199637132,0.0214326251494229,0.106975120263348,83.6208162236943,0.0194354390428918,0.236831881969509,"Welch Two Sample t-test","two.sided","NS"
"8","MS","P02760","AMBP","Protein AMBP","AMBP","OID21413","Oncology",0.0446454809324324,0.0490180044324324,0.0043725235,37,51,88,1.0945378895053,0.276918844117119,0.516612532139805,82.1278903494038,-0.0364956234323062,0.125786585297171,"Welch Two Sample t-test","two.sided","NS"
"9","MS","P00734","F2","Prothrombin","F2","OID30723","Inflammation II",0.111975777149497,0.0649221407945946,-0.047053636354902,37,51,88,1.98288559793615,0.0513012476683046,0.185926177855193,70.0721681274638,-0.000650287652498719,0.224601841951492,"Welch Two Sample t-test","two.sided","NS"
"10","MS","P02765","AHSG","Alpha-2-HS-glycoprotein","AHSG","OID30706","Inflammation II",0.101533586311712,0.111995153978378,0.0104615676666667,37,51,88,1.83874489504173,0.0697929526654045,0.22823097739434,77.3090062182322,-0.00841440315937456,0.211481575782798,"Welch Two Sample t-test","two.sided","NS"
