"UniProt","Gene.Name","Description","OlinkID","Assay","Panel","N","Correlation_Spearman","Correlation_Pearson","P.value_Spearman","P.value_Pearson","Adj.p.value_Spearman","Adj.p.value_Pearson","Cor.interval_Spearman","Cor.interval_Pearson","N.cleanData","Correlation_Spearman.cleanData","Correlation_Pearson.cleanData","P.value_Spearman.cleanData","P.value_Pearson.cleanData","Adj.p.value_Spearman.cleanData","Adj.p.value_Pearson.cleanData","Cor.interval_Spearman.cleanData","Cor.interval_Pearson.cleanData","No.missing.or.QCwarn","N.Missing.MS","Perc.Missing.MS","N.below.LOD","Perc.below.LOD","N.Missing.values","Perc.Missing.values","Median.Dist.LOD","Panel.type","Panel.version","N.sample.QC.warning","Assay.QC.warning","Blood.conc.ngmL","Sequence.coverage.MS","Protein.count.MS","min.PSMs","median.PSMs","max.PSMs","min.Unique.peptides","median.Unique.peptides","max.Unique.peptides","Abs.precursor.error","MSGF.score","Percolator.SVM.score","Precursor.ion.fraction","IQR.MS","IQR.Olink","IQR.Olink.cleanData","SD.MS","SD.Olink","SD.Olink.cleanData","CV.MS","CV.Olink","CV.Olink.cleanData","Range.MS","Range.Olink","Range.Olink.cleanData","Technical.CV.MS","Technical.CV.Olink","Length","Mass","UniProt.Isoforms","Isoform.N","Isoform.event"
"P05156","CFI","Complement factor I","OID30772","CFI","Inflammation II",88,0.695502095734564,0.750280470130337,0,3.96769766763805e-17,0,1.65296334566914e-16,"Moderate correlation","Strong correlation",88,0.695502095734564,0.750280470130337,0,3.96769766763805e-17,0,1.6366752879007e-16,"Moderate correlation","Strong correlation",TRUE,0,0,0,0,0,0,2.3549,"Inflammation","II",0,"PASS",14000,0.629502572898799,1,561,665,876,42,49,50,1.3003935,157,2.095,0.492781477643202,0.266837376875534,0.3627,0.3627,0.215882564430469,0.293394985242531,0.293394985242531,15.0479974203131,20.548682298708,20.548682298708,1.28621689289805,1.7095,1.7095,1.07846829682517,0.156841399408554,583,65750,"ALTERNATIVE PRODUCTS:",NA,NA
"P01024","C3","Complement C3","OID30776","C3","Inflammation II",88,0.423813884681765,0.398300357937252,4.58378862100802e-05,0.000121406315777901,7.9862613474044e-05,0.000195531712572397,"Weak correlation","Weak correlation",88,0.423813884681765,0.398300357937252,4.58378862100802e-05,0.000121406315777901,8.04742310955106e-05,0.000197036479705118,"Weak correlation","Weak correlation",TRUE,0,0,0,0,0,0,2.9503,"Inflammation","II",0,"PASS",220000,0.945279615153337,2,10695,12610,14911,386,428,471,1.1475123,148,2.086,0.491983389470321,0.256987299755483,0.550675,0.550675,0.209816079327252,0.762934528360754,0.762934528360754,14.6205834446136,56.8045648942118,56.8045648942118,1.18886440764232,4.0147,4.0147,0.69479880522819,3.54965185971781,1663,187148,"ALTERNATIVE PRODUCTS:",NA,NA
"P02647","APOA1","Apolipoprotein A-I","OID30769","APOA1","Inflammation II",88,0.767288785576744,0.758002472398244,2.83435405100771e-18,1.22993805011441e-17,8.3550541085841e-18,5.36139018756437e-17,"Strong correlation","Strong correlation",88,0.767288785576744,0.758002472398244,2.83435405100771e-18,1.22993805011441e-17,8.34262701806044e-18,5.33626508595457e-17,"Strong correlation","Strong correlation",TRUE,0,0,0,0,0,0,3.3202,"Inflammation","II",0,"PASS",130000,0.928838951310862,1,3240,3872,4376,67,82.5,89,1.0396059,105,1.033,0.500920308002676,0.374768360590221,0.492675,0.492675,0.307719240016714,0.396233453181408,0.396233453181408,21.5743816133143,27.9909706530332,27.9909706530332,1.68625087240214,2.4919,2.4919,1.33280747542543,13.2419765881397,267,30778,"ALTERNATIVE PRODUCTS:",NA,NA
"P04114","APOB","Apolipoprotein B-100","OID30673","APOB","Inflammation II",88,-0.180990454721567,-0.141903434339984,0.0915002757203208,0.187228103583615,0.115811447632558,0.219958927102915,"No correlation","No correlation",82,-0.115007455295436,-0.0782378156335623,0.302893644526135,0.484758813707783,0.356422262739805,0.541438305772078,"No correlation","No correlation",FALSE,0,0,6,6.81818181818182,6,6.82,0.4041,"Inflammation","II",0,"PASS",210000,0.84264738110892,1,2259,2930.5,3990,480,497,566,1.0898837,146,1.665,0.496484533368908,1.22013477647516,0.31345,0.310125,0.780892786682381,0.274673526145597,0.24068879462529,58.3448503812827,19.2127588968781,16.8000390098849,2.93961206836411,1.416,1.1006,7.40217333119629,7.96247109032898,4563,515605,"ALTERNATIVE PRODUCTS:",NA,NA
"P07225","PROS1","Vitamin K-dependent protein S","OID30737","PROS1","Inflammation II",88,0.57149524275519,0.647642667744373,6.0578713764108e-09,9.13900090580774e-12,1.41308611239004e-08,2.38838825102764e-11,"Moderate correlation","Moderate correlation",88,0.57149524275519,0.647642667744373,6.0578713764108e-09,9.13900090580774e-12,1.43496649523657e-08,2.39239711212131e-11,"Moderate correlation","Moderate correlation",TRUE,0,0,0,0,0,0,3.1451,"Inflammation","II",0,"PASS",8100,0.569526627218935,1,207,295.5,397,40,44.5,47,1.1509167,136,1.208,0.473836860829272,0.328431192144884,0.393475,0.393475,0.251198101562352,0.342828709000185,0.342828709000185,17.5445299256544,24.1025210014718,24.1025210014718,1.15313702236183,1.7807,1.7807,3.636002786735,2.18133378385266,676,75123,"ALTERNATIVE PRODUCTS:",NA,NA
"P00352","ALDH1A1","Aldehyde dehydrogenase 1A1","OID21128","ALDH1A1","Neurology",88,0.908650628720369,0.93364388165972,0,4.14566947978502e-40,0,3.9003840355644e-38,"Strong correlation","Strong correlation",88,0.908650628720369,0.93364388165972,0,4.14566947978502e-40,0,4.10421278498717e-38,"Strong correlation","Strong correlation",TRUE,0,0,0,0,0,0,3.9448,"Neurology","I",0,"PASS",58,0.552894211576846,2,27,32.5,35,16,18,22,1.2537028,151.5,1.58,0.531490349810264,0.578701448267026,0.983025,0.983025,0.533422236966921,0.762980963424769,0.762980963424769,38.2744097136479,56.8085282210548,56.8085282210548,2.77691465579721,4.0853,4.0853,5.06531007234258,2.60302614519278,501,54862,"ALTERNATIVE PRODUCTS:",NA,NA
"P08603","CFH","Complement factor H","OID30790","CFH","Inflammation II",88,0.523422915712726,0.574989526465953,2.61726861032908e-07,4.66022709193058e-09,5.37253865647552e-07,1.00408327992169e-08,"Moderate correlation","Moderate correlation",88,0.523422915712726,0.574989526465953,2.61726861032908e-07,4.66022709193058e-09,5.45430786732702e-07,1.01095364603833e-08,"Moderate correlation","Moderate correlation",TRUE,0,0,0,0,0,0,7.5921,"Inflammation","II",0,"PASS",130000,0.803411860276198,2,2082,2381.5,2989,94,111.5,124,1.2188886,155,1.974,0.478649354116307,0.261706489611022,0.35975,0.35975,0.193711609522876,0.303579749116981,0.303579749116981,13.4878113458367,21.2776428488747,21.2776428488747,0.988495238587892,1.5497,1.5497,1.29761003989438,6.1667733053312,1231,139096,"ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=2; Name=1; IsoId=P08603-1; Sequence=Displayed; Name=2; Synonyms=FHL-1; IsoId=P08603-2; Sequence=VSP_001190, VSP_001191;",2,"Alternative splicing"
"P20742","PZP","Pregnancy zone protein","OID30730","PZP","Inflammation II",88,0.964196400267691,0.966770130280995,0,1.01133993480782e-52,0,1.14180278639803e-49,"Strong correlation","Strong correlation",67,0.973860643307527,0.966088808573326,0,6.11765541798149e-40,0,5.5517722918182e-38,"Strong correlation","Strong correlation",FALSE,0,0,21,23.8636363636364,21,23.86,0.8952,"Inflammation","II",0,"PASS",26000,0.705128205128205,2,323,507.5,678,82,88.5,99,1.0624099,146,1.746,0.472279688530933,1.72563949644372,1.216025,0.9976,1.04983523962047,0.755953269065257,0.674038986142077,83.5547410804684,56.2098288747092,49.3902524535187,4.88891407065709,3.2403,2.9332,7.6312045332295,5.5721842975194,1482,163863,"ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=2; Name=1; IsoId=P20742-1; Sequence=Displayed; Name=2; IsoId=P20742-2; Sequence=VSP_030862, VSP_030863, VSP_030864;",2,"Alternative splicing"
"P02787","TF","Serotransferrin","OID30783","TF","Inflammation II",88,0.368842101559092,0.386889143966848,0.00040605719999593,0.000196439208177291,0.000649346428888676,0.000312806581145503,"Weak correlation","Weak correlation",88,0.368842101559092,0.386889143966848,0.00040605719999593,0.000196439208177291,0.000664789298943862,0.000315519613134321,"Weak correlation","Weak correlation",TRUE,0,0,0,0,0,0,2.3149,"Inflammation","II",0,"PASS",130000,0.871060171919771,1,725,801,1174,73,84,92,1.2073798,134,1.5935,0.488161776163941,0.390895753770027,0.378075,0.378075,0.265743757947684,0.265676016603055,0.265676016603055,18.5773085503761,18.5724922054412,18.5724922054412,1.21999300103526,1.338,1.338,1.25484380482073,0.328387363373803,698,77050,"ALTERNATIVE PRODUCTS:",NA,NA
"P02760","AMBP","Protein AMBP","OID21413","AMBP","Oncology",88,0.600736148779543,0.590776432467314,3.78390427280295e-10,1.37004284067236e-09,9.73127089748184e-10,3.06900469666487e-09,"Moderate correlation","Moderate correlation",88,0.600736148779543,0.590776432467314,3.78390427280295e-10,1.37004284067236e-09,9.72240815506075e-10,3.0889785786588e-09,"Moderate correlation","Moderate correlation",TRUE,0,0,0,0,0,0,4.8407,"Oncology","I",0,"PASS",40000,0.6875,1,841,976,1138,34,37,40,1.2097045,152,1.768,0.473117470782605,0.26252384595279,0.397275,0.397275,0.192383454679113,0.310218291681828,0.310218291681828,13.3945066728797,21.7536570923534,21.7536570923534,1.15722201867834,1.8019,1.8019,2.26147970990892,NA,352,38999,"ALTERNATIVE PRODUCTS:",NA,NA
