"Study","UniProt","Gene.Name","Description","SomaID","SomaScan.SeqID","Correlation_Previous.study","N_Previous.study","P.value_Previous.study","Adj.p.value_Previous.study","Cor.interval_Previous.study","Cor.method_Previous.study","OlinkID_Sissala","Correlation_Sissala","N_Sissala","P.value_Sissala","Adj.p.value_Sissala","Cor.interval_Sissala","Cor.method_Sissala"
"Dammer et al.","P09104","ENO2","Gamma-enolase","SL001731","ENO2.10339.48",0.67558446076154,35,8.47006227328962e-06,NA,"Moderate correlation","Pearson","OID21046",0.851202845972315,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","Q9Y5C1","ANGPTL3","Angiopoietin-related protein 3","SL006803","ANGPTL3.10391.1",0.67923060073713,35,7.25077949431843e-06,NA,"Moderate correlation","Pearson","OID20407",0.795921242647318,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","O95445","APOM","Apolipoprotein M","SL004747","APOM.10445.20",0.607515675327057,35,0.000108710442052501,NA,"Moderate correlation","Pearson","OID20374",0.829224049874961,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","Q13231","CHIT1","Chitotriosidase-1","SL006029","CHIT1.3600.2",0.819973190411795,28,9.3203222479561e-08,NA,"Strong correlation","Pearson","OID20312",0.916047338945441,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P12111","COL6A3","Collagen alpha-3(VI) chain","SL004928","COL6A3.10511.10",0.38104558931921,35,0.0239214604281716,NA,"Weak correlation","Pearson","OID20292",0.223820929167694,88,0.036259597132808,0.0480482220222304,"No correlation","Spearman"
"Dammer et al.","Q6UX71","PLXDC2","Plexin domain-containing protein 2","SL008729","PLXDC2.11342.59",0.401858021049186,35,0.0167141025843396,NA,"Weak correlation","Pearson","OID31101",0.420802366947272,88,5.24168569661888e-05,9.09041958753105e-05,"Weak correlation","Spearman"
"Dammer et al.","Q07954","LRP1","Prolow-density lipoprotein receptor-related protein 1","SL018603","LRP1.10699.52",0.26030410393115,35,0.1309864096459,NA,"No correlation","Pearson","OID21293",0.462417667570709,88,7.3700071911736e-06,1.34205453529597e-05,"Weak correlation","Spearman"
"Dammer et al.","P09603","CSF1","Macrophage colony-stimulating factor 1","SL002684","CSF1.10741.22",0.361093890498014,14,0.204635753900677,NA,"Weak correlation","Pearson","OID20719",0.771529710119404,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","O15031","PLXNB2","Plexin-B2","SL009948","PLXNB2.9216.100",0.292350678471182,35,0.0883408522693116,NA,"No correlation","Pearson","OID20317",0.580624141453278,88,5.16145756302416e-09,1.21655231495914e-08,"Moderate correlation","Spearman"
"Dammer et al.","P02765","AHSG","Alpha-2-HS-glycoprotein","SL000251","AHSG.3581.53",0.565740631877662,35,0.000397334889694987,NA,"Moderate correlation","Pearson","OID30706",0.615177344933254,88,0,0,"Moderate correlation","Spearman"
"Dammer et al.","Q13508","ART3","Ecto-ADP-ribosyltransferase 3","SL018330","ART3.10970.3",0.508923440746023,35,0.00179610643878139,NA,"Moderate correlation","Pearson","OID20346",0.860202176746152,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P02452","COL1A1","Collagen alpha-1(I) chain","SL007932","COL1A1.11140.56",0.353783144592219,35,0.0370727733179129,NA,"Weak correlation","Pearson","OID20335",0.82172167236096,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","Q86YW5","TREML1","Trem-like transcript 1 protein","SL011259","TREML1.9329.28",0.828719179670259,28,5.14245032764142e-08,NA,"Strong correlation","Pearson","OID30682",0.874079814025572,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P10645","CHGA","Chromogranin-A","SL002762","CHGA.11184.51",0.772318160311222,28,1.47513101207278e-06,NA,"Strong correlation","Pearson","OID30403",0.894949103589166,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","Q9NPY3","CD93","Complement component C1q receptor","SL007696","CD93.11200.52",0.381461491451951,35,0.023755660609305,NA,"Weak correlation","Pearson","OID20397",0.779155366137156,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P20061","TCN1","Transcobalamin-1","SL003164","TCN1.11232.46",0.448386306719257,35,0.0069038304211659,NA,"Weak correlation","Pearson","OID30687",0.362750191537712,88,0.000514016382153785,0.0008139193484595,"Weak correlation","Spearman"
"Dammer et al.","Q8TDL5","BPIFB1","BPI fold-containing family B member 1","SL012736","BPIFB1.11246.3",0.606322839554323,13,0.0280334111300057,NA,"Moderate correlation","Pearson","OID20308",0.906185058645345,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","Q04721","NOTCH2","Neurogenic locus notch homolog protein 2","SL007356","NOTCH2.8407.84",0.271136086439812,35,0.115145139946942,NA,"No correlation","Pearson","OID30407",0.32645908914797,88,0.00200382734205694,0.00300840567710411,"Weak correlation","Spearman"
"Dammer et al.","P07237","P4HB","Protein disulfide-isomerase","SL004901","P4HB.4278.14",0.750235857735015,35,2.11522000012552e-07,NA,"Strong correlation","Pearson","OID21509",0.537153222651567,88,6.83183853640801e-08,1.48045023178592e-07,"Moderate correlation","Spearman"
"Dammer et al.","O14791","APOL1","Apolipoprotein L1","SL005699","APOL1.11510.51",0.459141934721408,35,0.00552939197446131,NA,"Weak correlation","Pearson","OID30708",0.150329329717164,88,0.161845026061638,0.197325091170183,"No correlation","Spearman"
"Dammer et al.","P08581","MET","Hepatocyte growth factor receptor","SL000134","MET.11814.29",0.306695560097087,35,0.0731320140116294,NA,"Weak correlation","Pearson","OID20269",0.536334297556788,88,7.21463861118698e-08,1.56040746973757e-07,"Moderate correlation","Spearman"
"Dammer et al.","Q07960","ARHGAP1","Rho GTPase-activating protein 1","SL008179","ARHGAP1.9815.5",0.85095622784159,35,9.475204676529e-11,NA,"Strong correlation","Pearson","OID21202",0.613838892606812,88,0,0,"Moderate correlation","Spearman"
"Dammer et al.","P09211","GSTP1","Glutathione S-transferase P","SL003643","GSTP1.4911.49",0.845568812472927,35,1.6319259007876e-10,NA,"Strong correlation","Pearson","OID20876",0.254270719594238,88,0.0170418028397373,0.0232089208758304,"No correlation","Spearman"
"Dammer et al.","P00746","CFD","Complement factor D","SL003327","CFD.13678.169",0.428785119581936,35,0.0101671607995074,NA,"Weak correlation","Pearson","OID30738",0.69050051072523,88,0,0,"Moderate correlation","Spearman"
"Dammer et al.","P07355","ANXA2","Annexin A2","SL004209","ANXA2.4961.17",0.790471632852397,15,0.0004518831457968,NA,"Strong correlation","Pearson","OID30263",0.102990384276707,88,0.33899105066318,0.385031082694899,"No correlation","Spearman"
"Dammer et al.","Q14515","SPARCL1","SPARC-like protein 1","SL005488","SPARCL1.4467.49",0.414807793551959,35,0.0132239538142819,NA,"Weak correlation","Pearson","OID20361",0.706406547885347,88,1.48659002038188e-14,4.15435676487907e-14,"Strong correlation","Spearman"
"Dammer et al.","P05155","SERPING1","Plasma protease C1 inhibitor","SL000308","SERPING1.4479.14",0.508984917615912,35,0.00179342425022593,NA,"Moderate correlation","Pearson","OID30777",0.551389524849424,88,4.51436816326322e-08,9.93512993435511e-08,"Moderate correlation","Spearman"
"Dammer et al.","Q15485","FCN2","Ficolin-2","SL006542","FCN2.13717.15",0.798823620443474,35,8.84070554451096e-09,NA,"Strong correlation","Pearson","OID20382",0.596685569370575,88,8.58976760324772e-10,2.17440529687594e-09,"Moderate correlation","Spearman"
"Dammer et al.","P02748","C9","Complement component C9","SL000325","C9.13722.105",0.671187454688594,35,1.01871876405088e-05,NA,"Moderate correlation","Pearson","OID30698",0.850163784297841,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P30040","ERP29","Endoplasmic reticulum resident protein 29","SL003522","ERP29.13728.19",0.788111606736165,20,3.67927384944562e-05,NA,"Strong correlation","Pearson","OID30578",0.733479152426521,76,0,0,"Strong correlation","Spearman"
"Dammer et al.","P53634","CTSC","Dipeptidyl peptidase 1","SL007280","CTSC.13730.18",0.432450739385818,35,0.00947296470695238,NA,"Weak correlation","Pearson","OID20679",0.305730689302948,88,0.00390696898962268,0.00569157159907613,"Weak correlation","Spearman"
"Dammer et al.","P10643","C7","Complement component C7","SL000323","C7.13731.14",0.757108151422075,35,1.41223497047562e-07,NA,"Strong correlation","Pearson","OID30766",0.756801260975868,88,1.47995368531125e-17,4.32867282569016e-17,"Strong correlation","Spearman"
